"Account","Mein Konto"
"Cart","Mein Warenkorb"
"Egovs_Base::Company Line 2","Firma Zeile 2 (50 Zeichen erlaubt)"
"Egovs_Base::Company Line 3","Firma Zeile 3 (50 Zeichen erlaubt)"
"Egovs_Base::Company","Firma (150 Zeichen erlaubt)"
"Egovs_Checkout::Buy for %s","Zahlungspflichtig bestellen"
"Egovs_Checkout::Easy access to your order history and status","Anderenfalls können Sie ihre Bestellung nicht abschließen."
"Egovs_Checkout::Fast and easy check out","Bitte legen Sie Ihr Benutzerkonto vor dem ersten Gang zur Kasse über den Link ""Anmelden"" an."
"Egovs_Checkout::Forgot your password?","Passwort vergessen?"
"Egovs_Checkout::Grand Total:","Zu zahlen sind:"
"Egovs_Checkout::Please take note of our privacy statement!","Bitte beachten Sie unsere Datenschutzbestimmungen!"
"Egovs_Checkout::Register and save time!","Registrieren Sie sich über &quot;Anmelden&quot;!"
"Egovs_Checkout::Register with us for future convenience:","Um in unserem Shop einkaufen zu können, benötigen Sie ein Benutzerkonto."
"Mage_Catalog::%s Article(s)","%s Artikel"
"Mage_Catalog::Out of Stock","nicht lieferbar"
"Mage_Catalog::Out of stock","nicht lieferbar"
"Mage_Catalog::Show","Zeige pro Seite"
"Mage_Catalog::Sort By","Sortieren"
"Mage_Checkout::%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt. Der erlaubte Gesamtbestellwert darf 1.000,00 € nicht überschreiten!"
"Mage_Checkout::Empty Cart","Alle Artikel entfernen"
"Mage_Checkout::Line Total","Zeilensumme<br />(inkl. Steuern)"
"Mage_Checkout::Order now","Zahlungspflichtig bestellen"
"Mage_Checkout::Unit Price","Einzelpreis<br />(inkl. Steuern)"
"Mage_Core::Please enter your email below and we'll send you confirmation link for it.","Bitte geben Sie Ihre E-Mail-Adresse an und wir werden Ihnen den Bestätigungslink schicken."
"Mage_Core::Please enter your email below and we\'ll send you confirmation link for it.","Bitte geben Sie Ihre E-Mail-Adresse an und wir werden Ihnen den Bestätigungslink schicken."
"Mage_Customer::Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachten Sie dazu den Bestätigungslink in der E-Mail. Wenn Sie den Bestätigungslink nicht erhalten haben sollten, <a href=""%s"">klicken Sie hier</a> und geben Ihre E-Mail-Adresse erneut ein. Achten Sie auf Tippfehler."
"Mage_Customer::Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachten Sie dazu den Bestätigungslink in der E-Mail. Wenn Sie den Bestätigungslink nicht erhalten haben sollten, <a href=""%s"">klicken Sie hier</a> und geben Ihre E-Mail-Adresse erneut ein. Achten Sie auf Tippfehler."
"Mage_Customer::By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Um in unserem Shop einkaufen zu können, benötigen Sie ein Benutzerkonto. In Ihrem Benutzerkonto können Sie mehrere Versandadressen speichern, Ihren bisherigen Bestellablauf verfolgen und vieles mehr."
"Mage_Downloadable::In stock","lieferbar"
"Mage_Downloadable::Out of stock","nicht lieferbar"
"Mage_Page::Show","Zeige pro Seite"
"Mage_Sales::Excl. Tax","netto"
"Mage_Sales::Grand Total","Gesamtsumme inkl. Steuern"
"Mage_Sales::Incl. Tax","brutto"
"Mage_Sales::Order Status","Status"
"Mage_Sales::Order Total","Summe"
"Mage_Sales::Shipping & Handling","Versandkosten"
"Mage_Sales::Subtotal","Zwischensumme"
"Mage_Tax::Excl. Tax","Netto"
"Mage_Tax::Grand Total Excl. Tax","Gesamtsumme (Netto)"
"Mage_Tax::Grand Total Incl. Tax","Gesamtsumme (Brutto)"
"Mage_Tax::Incl. Tax","Brutto"
"Mage_Tax::Shipping Excl. Tax (%s)","Versandkosten (Netto)"
"Mage_Tax::Shipping Incl. Tax (%s)","Versandkosten (Brutto)"
"Mage_Tax::Subtotal (Excl. Tax)","Zwischensumme (Netto)"
"Mage_Tax::Subtotal (Incl. Tax)","Zwischensumme (Brutto)"
"Out of Stock","nicht lieferbar"
"Out of stock","nicht lieferbar"
"Sid_Checkout::Empty Cart","Alle Artikel entfernen""Startup Page","Start"
"Your account is locked due to too many failed login attempts.<br />Please contact the %s (fon. %s or email %s).","Ihr Konto wurde aufgrund zu vieler fehlerhafter Login-Versuche leider gesperrt.<br />Bitte wenden Sie sich an den %s (Tel.: %s oder E-Mail: %s)."
