"Order now","Buy now"

"Dwd_Icd::Back to Manage Data Access","Back to My Credentials"
"Dwd_Icd::Billing Address","Billing address"
"Dwd_Icd::Billing Information","Billing information"
"Dwd_Icd::Change Passwort for Login","Change Password for Login"
"Dwd_Icd::Payment Method","Payment method"
"Dwd_Icd::Product Name","Product name"
"Dwd_Icd::Shipping Information","Shipping information"
"Egovs_Base::Address Book","Address book"
"Egovs_Base::Add to Cart","Add to cart"
"Egovs_Base::City","City"
"Egovs_Base::Edit Address","Edit address"
"Egovs_Base::From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your account dashboard you can review your recent orders and update your account information. Click on the links to view or edit the information."
"Egovs_Base::Manage Addresses","Manage addresses"
"Egovs_Base::Primary Billing Address","Primary billing address"
"Egovs_Base::Zip/Postal Code","Zip/Postal Code"
"Egovs_Checkout::Billing Address","Billing address"
"Egovs_Checkout::Continue","Continue"
"Egovs_Checkout::Payment Method","Payment method"
"Egovs_Checkout::Please agree to all terms and conditions before placing the order.","Please accept our General Terms and Conditions / the information on the right of withdrawal."
"Egovs_Checkout::Select Shipping Method","Select shipping method"
"Egovs_Checkout::Shipping Method","Shipping method"
"Egovs_Checkout::Sorry,an Error occurs:<br/>Maybe you have exceeded the payment limits or you can not buy this products together. Please contact the Owner of the Webshop!","Sorry, an error occured:<br/>Maybe you have exceeded the maximum order value or you cannot buy these products together. Please contact our WetterShop service team!"
"Egovs_Checkout::Your Transaction Number is:","Your payment code is:"
"Egovs_Checkout::Zum Warenkorb","Show cart"
"Egovs_GermanTax::Back","Back"
"Egovs_GermanTax::Base Address","Base address"
"Egovs_GermanTax::Billing Address","Billing address"
"Egovs_GermanTax::Billing Information","Billing information"
"Egovs_GermanTax::Change","Change"
"Egovs_GermanTax::Excl. Tax","Excl. VAT"
"Egovs_GermanTax::Grand Total:","Grand total:"
"Egovs_GermanTax::Incl. Tax","Incl. VAT"
"Egovs_GermanTax::Payment Method","Payment method"
"Egovs_GermanTax::Review Order","Order review"
"Egovs_GermanTax::Shipping Information","Shipping information"
"Egovs_GermanTax::Shipping Method","Shipping method"
"Egovs_GermanTax::Tax Information","Tax information"
"Egovs_GermanTax::Subtotal (Incl. Tax)","Subtotal (Incl. Vat)"
"Egovs_GermanTax::Subtotal (Excl. Tax)","Subtotal (Excl. Vat)"
"Egovs_SepaDebitBund::Authorised signatory (First- Lastname)","I confirm that I am an authorised signatory for the above account.<br /><br />(Signatory's first and last name)"
"Egovs_SepaDebitBund::Debitor differs from banking account holder?","Debtor differs from bank account holder?"
"Egovs_SepaDebitBund::Use mandate multiple times","Recurrent payment"
"Egovs_SepaDebitBund::Use mandate one times","One-off payment"
"Egovs_Vies::The entered VAT number ist not valid!","The entered VAT number is not valid!"
"Mage_Catalog::Article","article(s)"
"Mage_Catalog::Product Description","Product description"
"Mage_Catalog::Add to Cart","Add to cart"
"Mage_CatalogSearch::Gewicht","Weight"
"Mage_CatalogSearch::Kategorie","Category"
"Mage_CatalogSearch::Tax class","VAT class"
"Mage_CatalogSearch::Verfügbar","Availability"
"Mage_ConfigurableSwatches::Add to Cart","Add to cart"
"Mage_Checkout::%s was added to your shopping cart.","%s was added to your shopping cart. The maximum order value is € 1,000.00!"
"Mage_Checkout::Excl. Tax","Excl. VAT"
"Mage_Checkout::Incl. Tax","Incl. VAT"
"Mage_Checkout::Add to Cart","Add to cart"
"Mage_Core::If you are not redirect click here.","If you are not redirected click here."
"Mage_Core::You`re now Logged Out","You`re now logged out"
"Mage_Core::Startup Page","Start Page"
"Mage_Customer::Contact Information","Contact information"
"Mage_Customer::Create an Account","Create an account"
"Mage_Customer::If you are not redirect click here.","If you are not redirected click here."
"Mage_Customer::Login or Create an Account","Login or create an account"
"Mage_Customer::My Dashboard","Account dashboard"
"Mage_Customer::Please enter your email below and we will send you a new password.","Please enter your email address below and we will send you a link to reset your password."
"Mage_Customer::You`re now Logged Out","You`re now logged out"
"Mage_Downloadable::My Downloadable Products","My Downloads"
"Mage_Reports::Add to Cart","Add to cart"
"Mage_Sales::Grand Total","Grand total"
"Mage_Sales::Add to Cart","Add to cart"
"Mage_Tag::Add to Cart","Add to cart"
"Mage_Wishlist::Add to Cart","Add to cart"
"Mage_XmlConnect::Add to Cart","Add to cart"
"Symmetrics_ConfigGermanTexts::Tax","VAT"
"Symmetrics_TweaksGerman::Click here to get the %s details on your Revocation Right</a>","Click here to read the %s details about your Right of Withdrawal</a>"
"Symmetrics_TweaksGerman::Revocation terms (CMS page)","Terms of Withdrawal (CMS page)"
"Symmetrics_TweaksGerman::Click here to get the shipping cost information","Click here to read the details about the shipping costs."
