"Add to Cart","in die Kasse"
"Cart","Kasse"
"Cash Journal","Kassenbuch"
"Company","Behörde"
"Egovs_Base::Add to Cart","Gebühr hinzufügen"
"Egovs_Base::Sku","Geb.-Schlüssel"
"Egovs_Base::Produkte pro Bestellung","Gebühren pro Bestellung"
"Egovs_Base::Ordered Items","Bestellte Gebühren"
"Egovs_Base::Name","Gebührenart"
"Egovs_Base::sku","Gebührenschlüssel"
"Egovs_Base::Einzelpreis","Gebührensatz"
"Egovs_Base::Row Total","Zwischensumme"
"Egovs_Bitv::Account","Benutzerdaten"
"Fee Schedule","Gebührenkatalog"
"Gka_Barkasse::Amount at cash point opening","Anfangsbestand der Barkasse"
"Gka_Barkasse::Sum of cash payments","Summe der Barzahlungen"
"Gka_Barkasse::Order ID","Vorgangsnummer"
"Gka_Barkasse::Customer Configuration","Mitarbeiterkonfiguration"
"Gka_Barkasse::Customers","Mitarbeiter"
"Gka_Barkasse::Manage Customers","Mitarbeiter verwalten"
"Gka_Barkasse::Customer Groups","Mitarbeitergruppen"
"Gka_Barkasse::Online Customers","Mitarbeiter online"
"Gka_Checkout::%s was added to your shopping cart.","%s wurde zu den Gebühren gelegt."
"Gka_Checkout::Billing Address","weitere Adressangaben"
"Gka_Checkout::Buy Now","Bezahlen"
"Gka_Checkout::Checkout","Zur Bezahlung"
"Gka_Checkout::Company","abweichender Einzahler"
"Gka_Checkout::Continue Shopping","zurück zur Gebührenkasse"
"Gka_Checkout::Delete All Items","Alle Gebühren entfernen"
"Gka_Checkout::Depositors","Einzahler Informationen"
"Gka_Checkout::Item was removed successfully.","Gebühr wurde entfernt"
"Gka_Checkout::My Cart (%s items)","Meine Gebühren (%s Gebühren)"
"Gka_Checkout::My Cart","Meine Gebühren"
"Gka_Checkout::Order now","Bezahlen"
"Gka_Checkout::(Checkout)",""
"Gka_Checkout::Price","Gebührensatz"
"Gka_Checkout::Proceed to checkout","zur Bezahlung gehen"
"Gka_Checkout::Product Name","Gebühren-Bezeichnung"
"Gka_Checkout::Qty","Anzahl"
"Gka_Checkout::Recently added item(s)","Kürzlich hinzugefügte Gebühren"
"Gka_Checkout::Review Order","Bezahlung"
"Gka_Checkout::Shopping Cart","Summe Gebühren"
"Gka_Checkout::Update Shopping Cart","Gebühren aktualisieren"
"Gka_Checkout::View Shopping Cart","Zu Summe Gebühren"
"Gka_Checkout::Print preview","Rechnung drucken"
"Gka_Checkout::Print Page","Quittung drucken"
"Gka_Checkout::Buy for %s","Bezahlen"
"Gka_UserStore::Change","Wechseln"
"Gka_UserStore::Please select your store:","Bitte wählen sie Ihr Amt:"
"Gka_Flexprice::Please insert an valid Amount.",""
"Gka_Flexprice::Amount","<b>Betrag</b>"
"Login or Create an Account","Anmelden"
"Mage_Bundle::Price as configured","Gebührensatz"
"Mage_Bundle::SKU","Gebührenschlüssel"
"Mage_Bundle::Price","Gebührensatz"
"Mage_Catalog::Add to Cart","Zu den Gebühren"
"Mage_Catalog::for additional Information","zusätzliche Informationen"
"Mage_Catalog::Qty:","Anzahl"
"Mage_Catalog::SKU","Gebührenschlüssel"
"Mage_Catalog::Catalog","Gebührenkatalog"
"Mage_Catalog::Manage Products","Gebühren verwalten"
"Mage_Catalog::Name","Gebührenart"
"Mage_Catalog::SKU","Gebührenschlüssel"
"Mage_Catalog::Price","Gebührensatz"
"Mage_Catalog::Qty","Anzahl"
"Mage_Catalog::Product In Websites","Gebühr auf Websites"
"Mage_Catalog::Product Categories","Gebührenkategorien"
"Mage_Catalog::Category Products","Gebühren dieser Kategorie"
"Mage_Checkout::Cart","Summe Gebühren"
"Mage_Checkout::Price","Gebührensatz"
"Mage_Checkout::Qty","Anzahl"
"Mage_Checkout::SKU","Gebührenschlüssel"
"Mage_Checkout::Remove Item","Gebühr entfernen"
"Mage_Checkout::Remove This Item","Diese Gebühr entfernen"
"Mage_Checkout::Are you sure you would like to remove this item from the shopping cart?","Soll diese Gebühr wirklich entfernt werden?"
"Mage_Customer::Forgot Your Password?","Passwort vergessen?"
"Mage_Customer::Login","Anmeldung"
"Mage_Customer::Password","Passwort"
"Mage_Customer::Please log in!","Bitte anmelden!"
"Mage_Page::Fee Schedule","Gebührenkasse"
"Mage_Page::Login or Create an Account","Anmeldung"
"Mage_Page::Order View","Vorgangsansicht"
"Mage_Reports::Products by Customer","Bezahlte Gebühren nach Kunden"
"Mage_Reports::Products","Gebühren"
"Mage_Reports::Products Ordered","Bestellte Gebühren"
"Mage_Reports::Product Name","Gebührenbezeichnung"
"Mage_Reports::Price","Gebührensatz"
"Mage_Sales::Payment Method Name","Zahlungsart"
"Mage_Sales::Sales Items","Verkaufte Gebühren"
"Mage_Sales::Product Name","Gebührenbezeichnung"
"Mage_Sales::Price","Gebührensatz"
"Mage_Sales::Quantity Ordered","Anzahl"
"Mage_Sales::About This Order:","Details:"
"Mage_Sales::Back to My Orders","Zurück zu meinen Vorgängen"
"Mage_Sales::Invoiced:","Menge:"
"Mage_Sales::Items Ordered","Zusammenfassung"
"Mage_Sales::My Orders","Meine Vorgänge"
"Mage_Sales::Order #%s - %s","Vorgang #%s - %s"
"Mage_Sales::Order #%s","Vorgang #%s"
"Mage_Sales::Order #","Vorgang #"
"Mage_Sales::Order Date: %s","Datum: %s"
"Mage_Sales::Order Information","Vorgangsinformationen"
"Mage_Sales::Order Status","Bezahl-Status"
"Mage_Sales::Order Total","Summe"
"Mage_Sales::Ordered","Anzahl"
"Mage_Sales::Price","Betrag"
"Mage_Sales::Print Order","Vorgang drucken"
"Mage_Sales::Print All Invoices","Alle Rechnungen drucken"
"Mage_Sales::Product Name","Gebührenart"
"Mage_Sales::Product","Gebühren-Bezeichnung"
"Mage_Sales::Qty Invoiced","Anzahl"
"Mage_Sales::Qty","Anzahl"
"Mage_Sales::Recent Orders","Letzte Vorgänge"
"Mage_Sales::SKU","Gebührennummer"
"Mage_Sales::Status","Bezahl-Status"
"Mage_Sales::Invoices","Quittung"
"Mage_Sales::Print Invoice","Quittungskopie"
"Mage_Sales::Invoice #","Vorgangsnummer"
"Mage_Sales::Subtotal","Zwischensumme"
"Mage_Sales::View Order","Details zum Vorgang"
"Mage_Sales::Article","Geb.-Schlüssel"
"Mage_Sales::Bill To","Kunde"
"My Orders","Meine Vorgänge"
"Registered Editors","Sachbearbeiter"
