"Egovs_Checkout::My Account","Benutzerkonto"
"Mage_Customer::My Account","Benutzerkonto"
"Egovs_Checkout::My Cart","Warenkorb"
"Mage_Checkout::My Cart","Warenkorb"
"Egovs_Checkout::My Cart (%s item)","Warenkorb (%s)"
"Mage_Checkout::My Cart (%s item)","Warenkorb (%s)"
"Egovs_Checkout::My Cart (%s items)","Warenkorb (%s)"
"Egovs_Checkout::Your Transaction Number is:","Ihr Kassenzeichen ist:"
"Mage_Checkout::My Cart (%s items)","Warenkorb (%s)"
"Mage_Catalog::Learn More","Details"
"Mage_Paypal::Learn More","Details"
"Slpb_Infobox::Informations","Informationen"
"Please inform me about these:","<span lang='en' xml:lang='en'>Update</span>-Benachrichtigung"
"general topics","Ich m&ouml;chte &uuml;ber kostenfreie <span lang='en' xml:lang='en'>Updates</span> informiert werden."
"general description","Sobald die von Ihnen gekaufte Jahrgangsversion einer Datei aktualisiert wird, werden Sie automatisch informiert."
"Mage_Customer::By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Um in unserem Shop einkaufen zu können, benötigen Sie ein Benutzerkonto. In Ihrem Benutzerkonto können Sie mehrere Versandadressen speichern, Ihren bisherigen Bestellablauf verfolgen und vieles mehr."
"Egovs_Checkout::Register and save time!","Registrieren Sie sich über ""Anmelden""!"
"Egovs_Checkout::Register with us for future convenience:","Um in unserem Shop einkaufen zu können benötigen Sie ein Benutzerkonto."
"Egovs_Checkout::Fast and easy check out","Bitte legen Sie Ihr Benutzerkonto vor dem ersten Gang zur Kasse über den Link ""Anmelden"" an."
"Egovs_Checkout::Easy access to your order history and status","Anderenfalls können Sie ihre Bestellung nicht abschließen."
"Egovs_Giropay::There was an error at giropay Payment. Customers payment was not valid.","Fehler im Zahlungsablauf bei Giropay. Ihre Zahlung war ungültig."
"Egovs_Saverpay::There was an error at giropay Payment. Customers payment was not valid.","Fehler im Zahlungsablauf bei Giropay. Ihre Zahlung war ungültig."
"Newsletter Subscriptions","Meine Updatebenachrichtigungen"
