"Egovs_Checkout::Place Order","Anmelden"
"Egovs_Checkout::My Account","Zur Registrierung"
"Egovs_Checkout::Zur Kasse gehen","Zur Registrierung"
"Egovs_Checkout::Checkout","Zur Registrierung"
"Egovs_Checkout::Order now","Anmeldung ausführen"
"Egovs_Checkout::Buy for %s","Anmeldung abschließen"
"Egovs_Checkout::Continue Shopping","Zurück zur Startseite"
"Egovs_Checkout::Billing Address","Kontaktadresse"
"Egovs_Checkout::Select a billing address from your address book","Adresse auswählen"
"Egovs_Checkout::Billing Information","Kontaktinformationen"
"Egovs_Checkout::Your order has been received","Ihre Anmeldung ist eingegangen"
"Egovs_Checkout::Your order # is:","Ihre Anmeldenummer ist:"
"Egovs_Checkout::Order Success","Anmeldung erfolgt"
"Egovs_GermanTax::Buy for %s","Anmeldung abschließen"
"Egovs_GermanTax::Review Order","Anmeldeübersicht"
"Egovs_GermanTax::Billing Information","Kontaktinformationen"
"Egovs_GermanTax::Billing Address","Kontaktadresse"
"Mage_Sales::About This Order:","Über diese Anmeldung:"
"Mage_Sales::Order Date: %s","Anmeldedatum: %s"
"Mage_Sales::Billing Address","Kontaktadresse"
"Mage_Catalog::In stock","sofort lieferbar"
