"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"VAT-ID","VAT-ID"
"Telephone","Telephone"
"Financial office","Financial office"
"In stock","available"
"Out of stock","Not available"
"Egovs_Base::Company","Company / Institutions / University"
"Company","Company / Institutions / University"
"Mage_Catalog::In stock","available"
"Mage_Catalog::Out of stock","Not available"
"Mage_Downloadable::In stock","available"
"Mage_Downloadable::Out of stock","Not available"
"Mage_Reports::In stock","available"
"Mage_Reports::Out of stock","Not available"
"Mage_Wishlist::In stock","available"
"Mage_Wishlist::Out of stock","Not available"
