"Failed Logins","Fehlgeschlagene Logins"
"Last Failed Login","Letzter fehlgeschlagener Login"
"Yubico OTP Information","Yubico OTP Informationen"
"Use OTP token","OTP Token verwenden"
"Semicolon separated list of token IDs.","Semikolon getrennte Liste von Token IDs"
"Max failed logins","Anzahl fehlgeschlagener Logins"
"Deactivate account after max failed logins.","Account wird nach x fehlgeschlagenen Logins deaktiviert"
"Your Yubico Client-ID.","Yubico Client-ID."
"Your Yubico API Key.","Yubico API Key."
"Unlocked %s accounts","Es wurden %s Konten entsperrt"
"Nothing to unlock","Keine Konten zum entsperren gefunden"
"Can't unlock accounts. Please check your log files.","Benutzerkonten konnten nicht entsperrt werden. Die Logfiles enthhalten mehr Informationen"
"Unlock all locked accounts","Alle gesperrten Konten jetzt entsperren"
"Unlock accounts","Konten entsperren"
"Last Login: %s","Letzter Login: %s"
"Last Login: %s<br/>Last Failed Login: %s","Letzter Login: %s<br/>Letzter fehlgeschlagener Login: %s"
"Taxvat","USt-ID"
"Use offical Yubico validation servers?","Offiziellen Yubico Server benutzen?"
"Verify validation server certificate?","Serverzertifikat validieren?"
"Enabling this setting increases risk of automated attacks against admin functionality.","Das Aktivieren dieser Funktion erhöht das Risiko bei Angriffen aud das Backend"
"Show login information","Zeige Logininformationen"
