"Modelhistory Cron Config","Einstellungen für Modelhistory Cron"
"Config Delete Days","Config löschen alle X Tage"
"Model Delete Days","Model löschen alle X Tage"
"keep it empty to disable delete","leer lassen, um die Funktion zu deaktivieren"
"Modelhistory Diff Config","Einstellungen für Modelhistory Diff"
"Short Model Diff","zeige kurze Fassung"
"Short Model Diff only for real change.","zeige verkürze Fassung nur für echte Veränderung."
"Change History","Änderungsverlauf"
"Data-Log","Daten-Log"
"Data","Daten"
"Config","Konfiguration"
