"Event","Veranstaltung"
"Events","Veranstaltungen"
"Event Request Settings","Einstellungen für Veranstaltung"
"Application","Antrag"
"Application of Admission","Zulassungsantrag"
"Note","Bemerkung"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Requested","Beantragt"
"Accepted","Angenommen"
"Rejected","Abgelehnt"
"Edit","Bearbeiten"
"Customer","Teilnehmer"
"-- Please Select --","-- Bitte wählen --"
"Customer Information","Teilnehmer Informationen"
"Application Information","Zulassungs Information"
"Title","Titel"
"Proceed to application","Weiter zur Anmeldung"
"Please Login first!","Bitte melden Sie sich erst an!"
"Your event request has been registered!","Ihre Anfrage zur Veranstaltung wurde gespeichert!"
"%s has to be alone in the cart.","<b>%s</b> kann nur einzeln im Warenkorb liegen."
