"Export Head Values","Kopfdaten für den Export"
"Irquellsystem","Irquellsystem"
"Branch Office","Niederlassung"
"Organizational Unit","Organisationseinheit"
"Period","Periode"
"Document Type","Belegart"
"Document Account Title","Belegkontotitel"
"Document Text","Belegtext"
"Currency","Währung"
"User","Benutzer"
"Writing Group","Schreibgruppe"
"Reading Group","Lesegruppe"
"Reference","Referenz"
"Cash Instructions","Kassenanweisung"
"Akn","Akn"
"Vgvorgang","Vgvorgang"
"Definition","Festlegung"
"Definition red","Festlegungsred"
"Error Text","Fehlertext"
"Client","Mandant"
"Export Position Values","Positionsdaten für den Export"
"Debit Account Title","Soll Kontotitel"
"Credit Account Title","Haben Kontotitel"
"Intended Household","Soll Haushaltsstelle"
"Have Household","Haben Haushaltsstelle"
"Household Monitoring List Number","HÜL-Nummer"
"Reference","Referenz"
"Position Type","Positionsart"
"Start Demarcation","Start Abgrenzung"
"End Demarcation","Ende Abgrenzung"
"Periodicity","Periodizität"
"Mag Check","Magkontorolle"
"Decimal Separator","Dezimal-Separator"
