"Item does not exist","Der Eintrag existiert nicht."
"Item was successfully saved","Der Eintrag wurde erfolgreich gespeichert"
"Unable to find item to save","Es wurde kein Eintrag zum Speichern gefunden."
"Item was successfully deleted","Der Eintrag wurde gelöscht."
"Please select item(s)","Bite wählen Sie mindesten einen Eintrag aus!"
"Total of %d record(s) were successfully deleted","Es wurden %d Einträge gelöscht."
"Total of %d record(s) were successfully updated","Es wurden %d Einträge aktualisiert."
"Nutzungsart","Type Of Use"
"Kundengruppe","Customergroup"
"Lizenztyp","Type Of License"
"Nchnutzung","Reuse"
"Lizenznummer","Number of License"
"Name","Name"
"Anfangsdatum","Start Date"
"Enddatum","End Date"
"Aktiv","Active"
"Betroffenheit prüfen","Check Consternation"

"Product","Produkt"
"Master","Master"

"",""
"",""

"",""
"Entgelt","Fee"
"In Prozent","Is Percent"
"Rabatt","Discount"

"Muster","Master"
"Bestellbedingungen","Agreement"
"Position","Position"

"",""
"Bezeichner","Identifier"
"Position","Position"


