"Edit Organisation's Address","Adresse der Organisationseinheit bearbeiten"
"Organisation Addresses","Adressen der Organisationseinheit"
"Organisation Information","Informationen der Organisationseinheit"
"Addresses","Adressen"
"Industry","Branche"
"Short Name","Kurzname"
"Note","Bemerkung"
"Parent Organisation","Übergeordnete Organisation"
"Edit Item '%s'","Bearbeite von Eintrag '%s'"
"Item was successfully saved","Der Eintrag wurde erfolgreich gespeichert."
"Organisation is used by '%s'","Organisation wird benutzt von '%s'"
