"Item does not exist","Der Eintrag existiert nicht."
"Item was successfully saved","Der Eintrag wurde erfolgreich gespeichert"
"Unable to find item to save","Es wurde kein Eintrag zum Speichern gefunden."
"Item was successfully deleted","Der Eintrag wurde gelöscht."
"Please select item(s)","Bite wählen Sie mindesten einen Eintrag aus!"
"Total of %d record(s) were successfully deleted","Es wurden %d Einträge gelöscht."
"Total of %d record(s) were successfully updated","Es wurden %d Einträge aktualisiert."
"Name","Name"
"Active","Aktiv"
"From","Von"
"To","Bis"
"Tollpolicy","Gebührenrichtlinie"
"Toll Category","Gebühren Kategorie"
"Toll","Gebühren"
"Type of Use","Nutzungsart"
"Type of Use Options","Nutzungsart Optionen"
"Toll Category Manager","Gebühren Kategorie Verwaltung"
"Toll Manager","Gebühren Verwaltung"
"Type of Use Manager","Nutzungsart Verwaltung"
"Type of Use Options Manager","Nutzungsart Optionen Verwaltung"
"Toll Category Information","Gebühren Kategorie Details"
"Edit Item '%s', Toll '%s'","Bearbeiten von Eintrag '%s', Gebühr '%s'"



