"Abo Settings","Abonnement Einstellungen"
"Abo E-Mail Settings","Abonnement E-Mail Einstellungen"
"Sender Name","Absender Name"
"E-Mail Address","E-Mail Addresse"
"Cancellation Template","Kündigung Template"
"Abo product is no longer available template","Abo Produkt nicht mehr verfügbar Template"
"Subscription renewal template","Abonnement Erneuerung Template"
"Termination denied template","Kündigung verweigert Template"
"Termination request template","Kündigungs Anfrage Template"
"Abo","Abonnements"
"Show Abos","zeige Abonnements"
"Email sent", "Email gesendet"
"Renewal Status","Erneuerungs Status"
"Cancelation Periode End","Ende Kündigungszeitraum"
"Cancelation until","Kündbar bis"
"Initial Order","Erstbestellung"
"Reorderd","neu bestellt"
"Abo Settings","Abonnement Einstellungen"
"Abo E-Mail Settings","Abonnement Email Einstellungen"
"Your subscription can not be deleted at the moment because of tier price usage. The operator has been informed and will contact you!","Ihr Abonnement kann zur Zeit wegen der Inanspruchname von Mengenrabatten nicht gekündigt werden. Der zuständige Berabeiter wurde informiert und wird sich mit Ihnen in Verbindung setzen!"
"Value will be added to product base price.","Der Wert wird auf Produktpreis addiert."
"Value will be replace product base price.","Der Wert ersetzt den Produktpreis."
"My Weather Subscription","Meine Wetter-Abonnements"
"Items Subcribed","abbonierte Artikel"
"Cancel subscribe","Abonnement kündigen"
"Are you sure you want to delete your subscription?","Sind Sie sicher, dass Sie Ihr Abonnement löschen wollen?"
"Resigned","Gekündigt"
"Change Station","Station wechseln"
"Send cancel notification to customer","Kündigungsbestätigung zum Kunden schicken"
"Product features","Artikelmerkmale"
"Article","Artikel"
"SKU short","Artikel-Nr."
"order information","Bestelldaten"
"Only on State canceled","Nur im Status gekündigt wirksam"
"to","bis"
"Download Sample File","Beispieldatei herunterladen"
"Can not find required columns: %s","Einige benötigte Spalten konnten nicht gefunden werden: %s"
"Please fix errors and re-upload file","Bitte beheben Sie die Fehler und prüfen Sie die Datei erneut."
'Column names: "%s" are invalid','Spaltennamen: "%s" sind ungültig'
"Create Customer","Kundenkonto anlegen"
"Address Id","Adresse-ID"
"Company1","Firma 1"
"Company2","Firma 2"
"Password Shop","Passwort Shop"
"Password Shop is safe","Shoppasswort ist sicher"
"Password Ldap","Passwort Ldap"
"Username Ldap","Benutzername Ldap"
"Password Ldap is safe","Passswort Ldap ist sicher"
"Period End","Periodenende"
"Customer informed","Kunde wurde informiert"
"Customer informed at","Kunde informiert am"
"Create Customer Account","Kundenkonten anlegen"
"Postcode","Plz"
"Import successfully done.","Import erfolgreich abgeschlossen!"
"File is totally invalid. Please fix errors and re-upload file","Die Datei ist vollständig ungültig, bitte beheben Sie die Fehler und versuchen Sie es erneut!"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","geprüfte Zeilen: %d, geprüfte Datensätze: %d, fehlerhafte Zeilen: %d, Fehler total: %d"
"Please fix errors and re-upload file or simply press 'Import' button to skip rows with errors","Bitte beheben sie die Fehler und laden sie die Datei erneut hoch oder drücken sie 'Import' um die Fehler zu ignorieren"
"File is partially valid, but import is not possible","Die Datei ist teilweise gültig aber der Import ist nicht möglich"
