"AFA Module is already running skipping.","Automatische Linkerstellung läuft bereits!"
"AFA service started","automatische Linkerstellung gestartet"
"Cleaned up expired links","entferne abgelaufene Links"
"Unlock AFA","AFA entsperren"
"Unlocked AFA","AFA entsperrt"
"If AFA doesn't run anymore, use this to unlock.","Falls AFA permanent gesperrt ist, kann hiermit die Sperrung entfernt werden."
"Automatic File Assignment (AFA) Options for Downloadables","Automatische Dateizuordnungs (AFA) Optionen für Downloads"
"AFA wasn't locked","AFA war nicht gesperrt"
"Can't unlock the afa. Please check your log files.","AFA kann nicht entsperrt werden. Bitte Logfiles prüfen!"
"Time in hours","Zeit in Stunden"
"There was an runtime error for the AFA service. Please check your log files.","Es gab einen Laufzeitfehler im AFA Dienst. Bitte Logfiles prüfen."
"Every %s hours","Alle %s Stunden"
"Runtime frequency","Häufigkeit für Ausführung"
"Use a tree for assignment","Datei-Pattern-Matching per Baum"
"Assignment by tree is much faster","Die Patterns werden in einen Baum einsortiert, dadurch muss beim Matching immer nur ein Teilbaum durchlaufen werden und der gesamte Ablauf wird beschleunigt."
