"Created at","Erstellt am"
"Data only for following periodes available: %s","Daten sind für diese Station nur für folgende Zeiträume verfügbar: %s"
"Day","Tag"
"Following placeholders are available:","die folgenden Patzhalter sind zulässig:"
"Following placeholders for periodes are available:","die folgenden Platzhalter sind für Perioden zulässig:"
"Month","Monat"
"No data for this station available.","Es sind keine Daten für diese Station vorhanden."
"Pattern","Schema"
"per Day","pro Tag"
"Per Item","pro Artikel"
"per Month","pro Monat"
"Per Order","pro Bestellung"
"per Week","pro Woche"
"per Year"," pro Jahr"
"Please specify periode.","Bitte eine Periode auswählen."
"Please specify station.","Bitte eine Station auswählen."
"Replace duplicates","Duplikate ersetzen"
"Short day","Tag des Monats, ohne führende Nullen"
"Short month","Monat als Zahl, ohne führende Nullen"
"Short year","zweistellige Jahreszahl"
"Should already existing files will be overwritten?","Sollen bereits existierende Dateien überschrieben werden?"
"Storage time","Vorhaltezeit"
"Updated at","Aktualisiert am"
"Duration in days to keep files stored. Use 0 to store files unlimited.","Dauer in Tagen, für die Dateien gespeichert werden. 0 um Dateien unbegrenzt zu speichern."
"Don't use wildcards at the beginning of a schema!","Wildcard-Platzhalter (*, ?) sollten nicht am Anfang eines Schemas genutzt werden!"
"Wildcard for any number of valid characters in file name","Beliebige Anzahl zulässiger Zeichen im Dateinamen (Wildcard)"
"Wildcard for only one character in file name","Ein zulässiges Zeichen im Dateinamen (Wildcard)"
