" to ", " bis "
"Account is deleted!","Kontoobjekt ist gelöscht"
"Account Synchronization","Kontosynchronisierung"
"Accounts","Konten"
"Application URL","Applikation URL"
"Application","Applikation"
"Article","Artikel"
"Back to Manage Data Access","Zurück zu Zugangsverwaltung"
"Change <br /> Password","Passwort <br /> ändern"
"Change Data Access Password","Passwort für Datenzugriff ändern"
"Change password for login","Passwort für folgendes Login ändern"
"Connection","Verbindung"
"Customer Id","Kunden Id"
"Edit Item","Eintrag bearbeiten"
"End Time","Ablaufdatum"
"Enter New Password","Neues Passwort"
"Error","Fehler"
"ICD Account","ICD Konto"
"ICD Accounts","ICD Konten"
"ICD Admin Email Adresses","ICD Administrator E-Mail Adresse"
"ICD Connection","ICD Verbindung"
"ICD Connections","ICD Verbindungen"
"ICD Order Item","ICD Verkauftes Produkt"
"ICD Order Items","ICD Verkaufte Produkte"
"Initial Order","Erstbestellung"
"Instant Credential Deployment","Bereitstellung von Anmeldeinformationen (ICD)"
"Lifetime","Lifetime"
"Link to application","Link zur Anwendung"
"Login Name","Benutzername"
"Maybe you have to specify the port explicit in the url eg. https://my.service.de:443/.","In der URL muß der Port mit angegeben werden z.B.: https://my.service.de:443/"
"My Credentials","Meine Zugänge"
"New Station","Neue Station"
"Order Id","Bestellung #"
"order information","Bestelldaten"
"Order Items","Verkaufte Produkte"
"Password does not meet requirements","Das Passwort muß die folgenden Voraussetzungen erfüllen:<br />- es darf keinen Teil des Benutzernahmen enthalten<br />- es muß mindestens 8 Zeichen lang sein<br />- es müssen Zeichen aus mindestens 3 der folgenden Kategorien enthalten sein:<br />&nbsp; &nbsp; &bull; Großbuchstaben von A-Z<br />&nbsp; &nbsp; &bull; Kleinbuchstaben von a-z<br />&nbsp; &nbsp; &bull; Ziffern von 0-9<br />&nbsp; &nbsp; &bull; Sonderzeichen (z.B.: !, $, #, %, etc.)"
"Password","Passwort"
"Processing","Verarbeitung"
"Product features","Artikelmerkmale"
"Product Name","Produkt Name"
"Run Time","Laufzeit"
"Sales Order Email CMS Block","Bestellemail CMS Block"
"separate by ;","Semikolon ; getrennt"
"SKU short","Artikel-Nr."
"Start Time","Aktivierungsdatum"
"Station Id","Stations ID"
"Success","Erledigt"
"Synchronization","Synchronisation"
"Synchronize All","Alle Synchronisieren"
"System Settings","Systemeinstellungen"
"To change station set Status to: 'New Station' and Synchronization to: 'Pending'","Um eine Station zu wechseln ändern sie den Status in: 'Neue Station' und Synchronisation in: 'In Bearbeitung'"
"Updated","Aktualisiert"
"Use password you already known!","Bitte nutzen Sie das bekannte Passwort."
"Use the Url as shown below!","Bitte benutzen sie die Url so wie sie unten angezeigt wird!"
"Use these credentials:","Bitte nutzen Sie diese Zugangsinformation(en):"
"Use this credential(s):","Bitte nutzen Sie diese Zugangsinformation(en):"
"You also find this information in the %s section of your account. Here you can also change the password according to your choice.","Sie können das Passwort in Ihrem Kundenkonto unter %s jederzeit ändern. Dort können auch die übrigen Informationen eingesehen werden."
"You can also see these info at your %s. The password can be changed at your customer account.","Sie können alle Informationen in %s einsehen. Dort können Sie das Passwort zu Ihrem Kundenkonto jederzeit ändern."
"You have not purchased any credentials yet.","Sie haben noch keine Zugänge erworben"
"Your Password will be changed within a few minutes!","Ihr Passwort wird in wenigen Minuten geändert sein."
"Change Password for Login","Passwort ändern für Login"
"Pending","In Bearbeitung"
