"-- please select --","-- Bitte wählen --"
"Duration is missing","keine Dauer angegeben"
"From is missing","kein Datum bei Von"
"Label is missing","keine Bezeichnung angeben"
"Period","Periode"
"Please specify the product's required option(s).","Bitte wählen sie die benötigten Produktoptionen."
"Price is missing","kein Preis angegeben"
"required Fields","Pflichtfelder"
"Select Period","Periode wählen"
"To is missing","kein Datum bei Bis"
"Cancelation Period [Days]","Kündigungszeitraum [Tage]"
"Save Row","Eintrag speichern"
"Reset","Zurücksetzen"
"per Day","pro Tag"
"per Week","pro Woche"
"per Month","pro Monat"
"per Year","pro Jahr"
"This periode has active abonnements! Please contact your customer(s) first! Do you really want to change this item?","Diese Periode hat aktive Abonnements! Wurden die Kunden über die Änderung bereits informiert? OK klicken um den Eintrag zu speichern."
"This periode has active abonnements! Please contact your customer(s) first! Do you really want to delete this item?","Diese Periode hat aktive Abonnements! Wurden die Kunden über die Änderung bereits informiert? OK klicken um den Eintrag zu löschen."
"Active Abos","Aktive Abos"
"Duration must be greather than cancelation period","Dauer muss größer sein als der Kündigungszeitraum"
"Duration must be greather than zero","Dauer muss größer als null sein"
