"Abort by user.","Abbruch durch den Benutzer."
"Abort by user.","Durch Benutzer abgebrochen."
"Application Server is not available","Der Anwendungs-Server ist nicht erreichbar."
"Availibility URL","Verfügbarkeits URL"
"Back-URL mode","BACK-URL-Modus"
"CA Path","Pfad zum CA-Zertifikat"
"Development mode","Entwicklermodus"
"Directory with correctly hashed CA certificates (DEFAULT: /etc/ssl/certs)","Verzeichnis mit dem katuellen Zertifikat (STANDARD: /etc/ssl/certs)"
"Format(s)","Format(e)"
"Hash Algorithm to use (md5, sha1)","Welcher Hash-Algorithmus ist zu verwenden<br />(MD5, SHA-1)"
"Hash Algorithm","Hash Algorithmus"
"Is the reference period visible for customers?","Soll der Bezugszeitraum für Kunden sichtbar sein?"
"MD5","MD5"
"Product not available","Das produkt ist nicht verfügbar"
"Product On Demand","Produkt auf Anfrage"
"Product(s)","Produkt(e)"
"Salt for transferred parameters hash","Salt für übergebenen Hash-Parameter"
"Salt","Salt"
"SHA-1","SHA-1"
"SHA-2 (SHA-256)","SHA-2 (SHA-256)"
"Send always the back URL to WESTE","Es wird immer die Back-URL (Ziel im Shop) an WESTE gesendet."
"Show Reference Period","Bezugszeitraum anzeigen"
"Start date","Bezugszeitraum/Starttermin"
"Start date: %s","Bezugszeitraum/Starttermin: %s"
"Start Download","Download wird gestartet"
"Station(s)","Station(en)"
"Transaction ID is incorrect","Transaktions ID ist nicht korrekt!"
"Transaction URL","Transaktions-URL"
"URL for Transaction Meta Data servlet","URL für Transaktions-Meta-Daten Servlet"
"Verify peer","Gegenstelle prüfen"
"Weste Products are only 35 days after order unlimited available","Weste-Produkte sind max 35 Tage nach der Bestellung unbegrenzt verfügbar"
