"Duplicate","Duplizieren"
"copy","Kopie"
"choose Station","Station auswählen"
"set duplicated","Das Set wurde dupliziert."
"show active stations only","Nur aktive Stationen anzeigen"
"Not enough Columns at Row %s","In Zeile %s befinden sich nicht genug Spalten."
"Set %s still has assigned products.","Set %s hat noch zugeordnete Produkte."
"Add Set","Set hinzufügen"
"Add Station","Station hinzufügen"
"Assigned Stations","zugeordnete Stationen"
"Delete Station","Station löschen"
"Link Stations into Set","Station zum Set hinzufügen"
"Manage Stations","Stationen verwalten"
"Please specify station.","Bitte eine Station auswählen."
"Save Station","Station speichern"
"Station Information","Stationsinformationen"
"Station ID","Stations-ID"
"Stations","Stationen"
"Stations Information","Stationsinformationen"
"Stations Manager","Stationsverwaltung"
"Such Station already exists.","Eine Station mit dieser Kennung/Messnetz existiert bereits."
"Active","Aktiv"
"Inactive","Ruhend"
"Planned","Geplant"
"Removed","Aufgelöst"
"Deleted","Gelöscht"
"%s Items are successfully processed!","%s Stationen erfolgreich verarbeitet!"
"Column %s is missing.","Spalte %s nicht vorhanden."
