"Context Help","Inhaltsbezogene Hilfe"
"Contexthelp","Inhaltsbezogene Hilfe"
"Contexthelp Manager","Verwaltung für Inhaltsbezogene Hilfe"
" Contexthelp information","Informationen für Inhaltsbezogene Hilfe"
"Contexthelp Information","Hilfe Informationen"
"Handler","Handel"
"Block","Block"
"Others","Andere"
"Customer Account","Kundenkonto"
"Product","Produkt"
"Total of %d record(s) were successfully deleted","Es wurden %d Einträge gelöscht."
"Total of %d record(s) were successfully updated","Es wurden %d Einträge aktualisiert."
"New Context Help","neue Inhaltsbezogene Hilfe erstellen"
