"Customize Settings Overlay for Language-Switcher","Einstellungen für den Sprach-Overlay anpassen"
"These options are only taken into account if more than 2 StoreViews are available.","Diese Optionen werden nur dann berücksichtigt, wenn <b>mehr als 2 StoreViews</b> zur Verfügung stehen."
"Use image for toolbar button","Benutze Bild für Toolbar-Button"
"Select ""Yes"" to use a PNG image as the caption for the toolbar button. Select ""No"" to use the icon from the Font Awesome package.","Wählen Sie ""Ja"", um ein PNG-Bild als Beschriftung für den Toolbar-Button zu verwenden.<br />Wählen Sie ""Nein"", um den Icon aus dem Paket ""Font Awesome"" für den Toolbar-Button zu verwenden."
"Show national flags in button text","zeige Landes-Flaggen auf den Buttons"
"Button representation in the overlay","Button-Beschriftung innerhalb des Overlay"
"%contry name%","%Landesname%"
"%contry name% %country language%","%Landesname% %Landessprache%"
"%country language%","%Landessprache%"
"%country code%","%Ländercode%"
"%store title%","%Storetitel%"
"%store title% %country language%","%Storetitel% %Landessprache%"
"Show one button per row","zeige 1 Button pro Zeile"
