"%s was successfully added to your shopping cart.","%s wurde erfolgreich in den Warenkorb gelegt."
"&laquo; Back to Billing Information","&laquo; Zurück zu Rechnungsinformationen"
"&laquo; Back to Select Addresses","&laquo; Zurück zur Adressauswahl"
"&laquo; Back to Shopping Cart","&laquo; Zurück zum Warenkorb"
"* Required Fields","* Pflichtfelder"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Company Fields","Zusätzliche Firmenfelder"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> von %s"
"Address","Straße und Hausnummer"
"After adding a product redirect to shopping cart","Nach dem Hinzufügen eines Produktes zum Warenkorb weiterleiten"
"Allow Checkout Customer Register","Kundenregistrierung im Checkout erlauben"
"Allow customer to register within checkout","Kunden dürfen sich im Checkout registrieren"
"Allow Guest Checkout","Bezahlvorgang als Gast ermöglichen"
"Already registered?","Bereits registriert?"
"An error occurred in the process of payment","Fehler im Bezahlvorgang"
"Apply Coupon","Gutschein einlösen"
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Automatically Incoice E-Mail","Automatisch Email mit Rechnung"
"Back to Shipping Information","Zurück zu den Versandinformationen"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Back","Zurück"
"Based on your selection, you may be interested in the following items:","Ausgehend von Ihrer Auswahl könnten Sie auch an den folgenden Produkten interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Adr. Text","Textblock für Rechnungsadresse"
"Billing Information - %s","Rechnungsinformation - %s"
"Billing Information","Rechnungs&shy;information"
"Buy for %s","Für %s kaufen"
"Can not add item to shopping cart","Konnte Artikel nicht in den Warenkorb legen"
"Can not apply coupon code.","Der Gutschein konnte nicht eingelöst werden."
"Can\'t open overview page","Übersichtsseite konnte nicht geöffnet werden."
"Cancel Coupon","Gutschein stornieren"
"Cannot remove item","Artikel kann nicht entfernt werden"
"Cannot remove items","Elemente können nicht entfernt werden"
"Cannot update shopping cart","Warenkorb kann nicht aktualisiert werden"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart Subtotal:","Zwischensumme:"
"Certified safety - Positive SSL Label","Zertifizierte Sicherheit - Positives SSL-Label"
"Change Billing Address","Rechnungsadresse ändern"
"Change","Ändern"
