"Event Bundle","Veranstaltungsprodukt"
"Event Bundle Items","Veranstaltungs Artikel"
"Event Products","Veranstaltungsprodukte"
"verified","bestätigt"
"Personalization","Personalisierung"
"Personal Settings","Einstellungen für Personalisierung"
"(not available at the moment! Select this option if you want to be informed as it is available again!)","(z.Zt. nicht verfügbar. Falls sie über die Wiederverfügbarkeit informiert werden wollen wählen Sie diese Option!)"
"Bundle with dynamic pricing cannot include custom defined options prices. Options prices will not be saved.","Bündelartikel mit dynamischen Preisen können keine Preise für benutzerdefinierte Optionen enthalten. Diese optionalen Preise werden nicht gespeichert."
"Header Text for Personal Settings","Überschrift für Personalisierung"
"Header Text","Überschrift"
"Using both ""personal options"" and ""requires approval"" is not recommended!","Die beiden Optionen, ""Personalisierung"" und ""Genehmigung benötigt"" in einem Produkt, werden nicht empfohlen!"
"Display Prices of Subitems in Cart if Price = 0","Preis bei Unterartikeln im Warenkorb auch anzeigen,<br />wenn dieser 0 beträgt"
