"Not activated","Nicht Aktiviert"
"Lastname","Nachname"
"Firstname","Vorname"
"Availability","Verfügbarkeit"
"Weight","Gewicht"
"Weight per Order","Gewicht pro Bestellung"
"Not Subscribed","Nicht Abboniert"
"Activity","Aktivitäten"
"Customer Activity","Kunden Aktivitäten"
"Last Login","Letzte Anmeldung"
"Last Order","Letzte Bestellung"
"Yield","Gewinn"
"Number of Visitors","Anzahl der Besucher"
"Time Total[min]","Gesamtzeit [min]"
"Mean Time[min]","Durchschnittliche Verweildauer [min]"
"Visitors Total","Anzahl der Besucher"
"Visitors", "Besucher"
"Inwards", "Warenzugänge"
"Extended Stock", "Erweiterte Lagerverwaltung"
"Product Overview", "Produktüberblick"
"Overview", "Überblick"
"Revenue", "Einnahmen"
"Sold Products", "Verkaufte Produkte"
"Products Shipped", "Versendete Produkte"
"Quantity Shipped", "Versandmenge"
"Total Order Value","Versandwert"
"Shipped", "Versendet"
"Show Report for","Zeige Bericht für"
"All customer groups","Alle Benutzergruppen"
"Settled Account","Bezahlte Rechnungen"
"Outstanding items (Outstanding invoices)","OPL (Offene Rechnungen)"
"Outstanding items","OPL (Offene Rechnungen)"
"Sort period by","Zeitraum sortieren"
"Ascending","Aufsteigend"
"Descending","Absteigend"
"From","Von"
"To","Bis"
"Show by","Anzeigen pro"
"All Websites","Alle Websiten"
"Outwards","Warenabgänge"
"Stock flow","Verlauf der Bestandsmengen"
"Difference","Differenz"
"No columns visible. Please contact your administrator for further information.","Keine Spalten sichtbar. Kontaktieren Sie ihren Administrator für weitere Informationen."
"Cost unit and Cost object","Kostenstelle und Kostenträger"
"Cost unit","Kostenstelle"
"Cost object","Kostenträger"
"Object number","Objektnummer"
"Object number VAT","Objektnummer MwSt"

"Report - Outstanding items (Outstanding invoices)","Bericht - OPL (Offene Rechnungen)"
"Report - Sales Settled Account","Bericht - Bezahlte Rechnungen"
"Report - Cost unit","Bericht - KLR"
"Display Invoice Date","Rechnungsdatum anzeigen"
"Display Invoice #","Rechnung Nr. anzeigen"
"Display Order #","Bestellung Nr. anzeigen"
"Display Order Date","Bestelldatum anzeigen"
"Display Bill to First name","Rechnung an - Vorname anzeigen"
"Display Bill to Last name","Rechnung an - Nachname anzeigen"
"Display Status","Status anzeigen"
"Display Amount","Betrag anzeigen"
"Display Group Name","Gruppenname anzeigen"
"Last 30 days are shown by default.","Standardmäßig werden die letzten 30 Tage angezeigt."
