"Shipping Company","Versand an: Firma"
"Shipping Name","Liefername"
"Billing Company","Rechnung an: Firma"
"Billing Name","Rechnung an: Name"
"Billing Address","Rechnung an: Adresse"
"Shipping Address","Versandadresse"
"Can't cancel the order, are all invoices of the order canceled!?","Bestellung kann nicht storniert werden! Es müssen vorher alle Rechnungen storniert sein."
"Print Delivery Note","Lieferschein Drucken"
"Print Address Label","Adressetikett Drucken"
"SKU","Artikelnummer"
"Delivery Note","Lieferschein"
"Balance (Base)","Saldo (Basis)"
"Special canceled","Spezial Storniert"
"Is this a special order cancel?","\'OK\' für Spezial-Storno sonst \'Abbrechen\'"
"Return","Rücklauf"
"New Return for Order #%s","Erstelle Rücklauf für Bestellung: #%s"
"New Return for Invoice #%s","Erstelle Rücklauf für Rechnung: #%s"
"Special cancel","Spezial stornieren"
"Returns","Rückläufer"
"Update Qty's","Aktualisiere Mengen"
"Unlock customer","Kunde entsperren"
"No Items To Refund, you need at least one not cancelled invoice","Keine Artikel zur Erstattung vorhanden, es muss mindestens eine nicht stornierte Rechnung existieren"
