"Export to:", "Exportieren nach:"
"No records found for this period.","Keine Einträge für diesen Zeitraum gefunden."
"Product ID","Produkt-ID"
"Period","Periode"
"To","Bis"
"From","Von"
"Show By","Anzeigen nach"
"Out Of Stock Message","Nachricht für Kunden bei geringer Lagermenge"
"Quantity Delivered","Gelieferte Menge"
"Save","Speichern"
"Change Order Status","Bestellstatus bearbeiten"
"Change Stock Status","Lagerstatus bearbeiten"
"Existing Stock Orders","Vorhandene Lagerbestellungen"
"New Stock Order","Neue Lagerbestellung"
"Stock Order","Lagerbestellung"
"Manage Stock Orders","Lagerbestellungen"
"Distributor","Lieferant"
"Quantity Ordered","Bestellmenge"
"Quantity Delivered","Liefermenge"
"Cost Price","Einkaufspreis"
"From Cost Price/Article","Ab Einkaufspreis/Stück"
"Order Date","Bestelldatum"
"Delivery Date","Lieferdatum"
"Delivered","Geliefert"
"Rack","Regal"
"Storage","Lager"
"Stock Order Manager","Lagerbestellungen"
"Extended Inventory", "Erweiterte Lagerverwaltung"
"Edit","Bearbeiten"
"Product","Produkt"
"sku","Artikelnummer"
"Save Stock Order","Lagerbestellung Speichern"
"Edit Stock Order","Lagerbestellung Bearbeiten"
"Ordered","Bestellt"
"Avail Qty","Im Lager"
"Stock","Lagerbestand"
"Stock Value", "Bestandswert"
"Stock Status","Lagerstatus"
"In stock", "Auf Lager"
"Not in stock", "Nicht auf Lager"
"Stock overview", "Lagerüberblick"
"Total cost price", "Gesamtlagerwert"
"Total order price", "Gesamtbestellwert"
"Total quantity", "Gesamtlagerbestand"
"Add Stock Order", "Lagerbestellung hinzufügen"
"Stock Order Information", "Lagerbestellungsinformation"
"Order Quantity","Bestellte Menge"
"Available quantity can't be lesser than zero!","Lagermenge kann nicht kleiner 0 sein!"
"Available quantity can't be greater than quantity ordered!","Lagermenge kann nicht größer als bestellte Menge sein!"
"Item was successfully saved", "Element erfolgreich gespeichert"
"Unable to find item to save", "Kein Element zum speichern gefunden"
"Skipping canceling of order item for extended stock","Überspringe Stornierung dieses Elements für erweiterte Lagerverwaltung"
"No items found","Keine stornierbaren Elemente gefunden"
"Item is not managed by extended stock","Element wird nicht von erweiterter Lagerverwaltung verwaltet"
"Data integrity is corrupted [New quantity: %s > Quantity ordered: %s]","Datenintegrität nicht mehr gewährleistet [Neuer Lagerbestand: %s > bestellter Bestand %s]"
"Data integrity is corrupted, not all items can return to stock (rest: %s)","Datenintegrität nicht mehr gewährleistet, nicht alle Elemente konnte in Lager zurückgebucht werden (Rest: %s)"
"Extended Stock","Erweiterte Lagerverwaltung"
"Item in order allready canceled [Order ID: %s;Item ID: %s]","Element in Bestellung ist bereits storniert [Bestell ID %s;Element ID: %s]"
"Product is not managed by stock [Product ID: %s]","Produkt wird nicht von erweiterter Lagerverwaltung verwaltet [Produkt ID: %s]"
"Price can't be less than 0, skipping extended stock save [Product ID: %s]","Preis kann nicht kleiner 0 sein, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Ordered date can't be tomorrow, skipping extended stock save [Product ID: %s]","Bestelldatum kann nicht in der Zukunft liegen, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Item not usable for extended stock, skipping extended stock save [Product ID: %s]","Element nicht verwaltbar durch erweiterte Lagerverwaltung, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Ordered quantity is less than 1","Bestellmenge ist kleiner 1"
"Unknown reason","Unbekannter Fehler"
", skipping extended store save. [Product ID: %s]",", überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Order date can't be tomorrow.","Das Bestelldatum kann nicht in der Zukunft liegen."
"Delivery date can't be tomorrow.","Das Lieferdatum kann nicht in der Zukunft liegen."
"Delivery date can't be before order date!","Das Lieferdatum kann nicht vor dem Bestelldatum liegen!"
"Delivery date can be only %s months back.","Das Lieferdatum kann maximal %s Monate zurückliegen."
"Delivery date was set but item was not set to delivered [Product ID: %s].","Bestelldatum wurde angegeben, aber Bestellung wurde nicht auf geliefert gesetzt [Produkt ID: %s]."
"An unexpected error occured.","Es ist eine unerwarteter Fehler aufgetreten."
"No products found to change stock value.","Es wurden keine Produkte gefunden, deren Lagerbestand geändert werden könnte."
"Low Stock E-Mail Settings","Lagerbestandswarnung Email Einstellungen"
"Send Low Stock E-Mail","Email bei niedrigem Lagerbstand versenden"
"Sender Name","Absendername"
"Sender E-Mail Address","Absender Email Adresse"
"Recipient E-Mail Address","Empfänger Email Adresse"
"Low Stock Template","Template"
"adjust Inventory","Korrekturbuchung"
