"Your Giropay Account-ID.","Ihre Giropay Konto-ID."
"Autoclose","Automatisch Schliessen"
"Address","Adresse"
"Sort order","Sortierreihenfolge"
"Giropay Account ID","Giropay Konto ID"
"Enabled","Aktiviert"
"Title","Titel"
"Description","Beschreibung"
"Giropay Account ID","Giropay Konto ID"
"eMail Notification","eMail Benachrichtigung"
"If not empty, Saferpay will send an eMail to this address upon successful payment placement","Wenn ausgefüllt, Saferpay versendet eine eMail über einen erfolgreichen Bezahlvorgang."
"Payment from applicable countries","Bezahlung für verfügbare Länder"
"Payment from Specific countries","Bezahlung für spezielle Länder"
"New order status","Neuer Auftragsstatus"
"Order is processing","Bestellung in Verarbeitung"
"No custom info","keine Informationen"

"You will be redirected to Saferpay website when you place an order.","Nach Absenden der Bestellung werden Sie zur Zahlung zu Saferpay weitergeleitet."
"Customer was redirected to Saferpay.","Kunde wurde zu Saferpay weitergeleitet."
"There was an error at Saferpay Payment.","Fehler im Zahlungsablauf bei Saferpay."
"There was an error at giropay Payment. Customers payment was not valid.","Fehler im Zahlungsablauf bei Giropay. Die Zahlung des Kunden war ungültig."
"Customer canceled Saferpay Payment.","Kunde hat Zahlung bei Saferpay abgebrochen."
"Customer successfully returned from Saferpay<br /><strong>Transaction ID: %s</strong>","Kunde hat Zahlung bei Saferpay abgeschlossen.<br /><strong>Transaktions-Kennung: %s</strong>"
"Customer was rejected by Saferpay","Kundenzahlung wurde von Saferpay verweigert."
"You will be redirected to Saferpay in a few seconds. If not, click next.","Sie werden zu Saferpay weitergeleitet. Falls nicht, klicken Sie bitte auf weiter."
"next","weiter"


"Customer was redirected to giropay.","Kunde wurde zu Giropay per Saferpay weitergeleitet."
"Customer canceled giropay Payment.","Kunde hat Zahlungsvorgang bei Saferpay abgebrochen"
