"%s Merchant ID is missing in Girosolution configuration. Please contact the shop operator.","%s Händler ID ist nicht konfiguriert! Bitte informieren Sie den Shopbetreiber."
"%s Project ID is missing in Girosolution configuration. Please contact the shop operator.","%s Projekt ID ist nicht konfiguriert! Bitte informieren Sie den Shopbetreiber."
"%s Project password is missing in Girosolution configuration. Please contact the shop operator.","%s Projekt-Passwort ist nicht konfiguriert! Bitte informieren Sie den Shopbetreiber."
"3D-Secure authorization unsuccessful","3D-Secure Autorisierung fehlgeschlagen"
"A maximum of 12 characters","Maximal 12 Zeichen"
"Abort by customer","Abbruch durch Kunden"
"Automatically generated by payment confirmation","Automatisch nach Zahlungsbestätigung erzeugt"
"Bank unterstützt kein giropay","Die angegebene Bank unterstützt Giropay nicht!"
"Can't validate Girosolution message or message was invalid!","Girosolution Nachricht kann nicht validiert werden oder ist ungültig."
"Card stolen, suspicious or marked for drawing","Karte gestohlen, verdächtig oder zum Einziehen markiert"
"Could not activate Kassenzeichen! See log files for further informations.","Kassenzeichen konnte nicht aktiviert werden! Die Log-Dateien enthalten weitere Informationen"
"Country of creditcard not accepted or unknown","Ausgabeland der Karte nicht gültig oder unbekannt"
"Customer successfully granted by Girosolution","Zahlung des Kunden durch Girosolution gewährt"
"Customer successfully granted by Girosolution<br /><strong>Transaction ID: %s</strong>","Kunde wurde durch Girosolution berechtigt <br /><strong>Transaktions ID: %s</strong>"
"Date of expiry exceeded","Gültigkeitsdatum der Karte überschritten"
"Duplicate transactions","doppelte Transaktion"
"Enable use of pseudocard numbers","Pseudokartennummern-Nutzung aktivieren"
"EPA compatible purpose","EPA kompatibler Verwendungszweck"
"Fraud suspicion or payment method is temporary disabled","Manipulationsverdacht oder Zahlungsmittel temporär gesperrt"
"giropay Bank offline","Giropay Bank offline"
"Kassenzeichen activated","Kassenzeichen aktiviert"
"Merchant ID is missing in Girosolution configuration","Händler ID ist nicht konfiguriert!"
"Modifying state for further processing.","State für weitere Bearbeitung ändern"
"Online banking account invalid","Online Banking Zugang ungültig"
"Payment method locked or denied","Zahlungsmittel gesperrt oder abgelehnt"
"Payment result unknown","Zahlungsausgang unbekannt"
"Project ID is missing in Girosolution configuration","Projekt ID ist nicht konfiguriert!"
"Project ID","Projekt-ID"
"Project password is missing in Girosolution configuration","Projekt-Passwort ist nicht konfiguriert!"
"Project password","Projekt-Passwort"
"Timeout / No user action","Timeout / keine Benutzereingabe"
"Transaction unsuccessful","Transaktion nicht erfolgreich"
"Type of creditcard is not valid or unknown","Kreditkartentyp ungültig oder unbekannt"
"Unkown server error.","Unbekannter Serverfehler"
"Use pseudocard numbers to get full chargeback on cancellations (default:yes)","Pseudokartennummern müssen aktiviert sein  um den vollen Chargeback vom Anbieter zurückzuerhalten (Default:ja)"
"Your Girosolution merchant ID.","Ihre Girosolution Händler-ID."
"Your Girosolution project ID.","Ihre Girosolution Projekt-ID."
"Your Girosolution project password.","Ihr Girosolution Projekt-Passwort."
