"Publisher","Herausgeber"
"Impress","Impressum"
"Contact","Kontakt"
"eSignature","eSignatur"
"Legal Informations","Rechtliche Hinweise"
"Authority Finder","Behördenwegweiser"
"AGB","AGB"
"Impressum","Impressum"
"Revocation","Widerruf"
"Shipment","Lieferung"
"Paymentmethodes","Zahlungsarten"
"Privacy Policy","Datenschutz"
"Ordering","Bestellvorgang"
"Contacts","Kontakte"
"Sitemap","Sitemap"
"popular Searches","Beliebte Suchanfragen"
"advanced Search","Erweiterte Suche"
"Orders and Returns","Bestellungen und Rücksendungen"
"Contact us","Kontaktieren Sie uns"
