"Sender Name","Absender Name"
"Sender Email","Absender Email"
"Subject","Betreff"
"Message Body","Nachrichten Text"
"Recipients Information","Empfänger"
"Finished","Erledigt"
"Sending","Wird Gesendet"
"Edit Queue '%s'","Bearbeiten von '%s'"
"Quote can not be send!","Warteschlange kann nicht gesendet werden!"
"Quote has been send!","Warteschlange wurde bereits gesendet"
"Send At","Gesendet am"
"Unsend","Ungesendet"
"Save And Continue Edit","Speichern und Weiterbearbeiten"
"Information Letter","e-Mail Mitteilungen"
"Infoletter","e-Mail Mitteilungen"
"Infomation Letter Details","e-Mail Mitteilungen Details"
"Add Queue","Neue Mitteilung"
"Item was successfully saved","Der Eintrag wurde erfolgreich gespeichert"
"Message Body Html","Nachrichten Text HTML"
"Queue information","Vorlagen-Informationen"
"Add to Infoletter","zu Email Mitteilungen hinzufügen"
"Message Body Plain","Nachrichten Text ohne HTML-Formatierung"
"Processed At","Verarbeitet am"
