"Please select a customer","Bitte wählen Sie einen Kunden"
"Configurable Virtual Product","konfigurierbares virtuelles Produkt"
"SKU","Artikelnummer"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Customer Information","Kundeninformation"
"Is Parent Customer","ist Hauptkunde"
"Following Address is used by Informationservice:","Folgende Adresse ist durch den Auskunftsdienst benutzt:"
"Insert Product Link","Link zum Produkt einfügen"
"Insert Product Url","Produkt Adresse einfügen"
"Price per Time Unit","Preis pro Arbeitseinheit"
"Price Settings","Preiskalkulation"
"Is Informationservice Master Product","Produktvorlage für Auskunftsdienst"
"Master Product","Produktvorlage"
"Create Product","Produkt anlegen"
"Result Product","Resultierendes Produkt"
"Edit Product","Produkt bearbeiten"
"Product Url","Produkt Url"
"Product Name","Produktname"
"Calculated Price","Berechneter Preis"
"Time Unit","Arbeitseinheit"
"Please create a customer address first.","Bitte legen Sie zuerst eine Adresse für diesen Kunden an!"
"Information Service","Auskunftsdienst"
"New Request","Neue Anfrage"
"Egovs_Informationservice::Edit","Bearbeiten"
"Title","Titel"
"Egovs_Informationservice::Customer","Kundennummer"
"Deadline","Zieldatum"
"Egovs_Informationservice::New Status","Neuer Status"
"Egovs_Informationservice::Request","Anfrage"
"Egovs_Informationservice::Task","Tätigkeitsbericht"
"Egovs_Informationservice::History","Historie"
"Egovs_Informationservice::Save Request","Anfrage speichern"
"Egovs_Informationservice::Delete Request","Anfrage löschen"
"Manage Requests","Anfragen bearbeiten"
"Cost expected","Erwarteter Aufwand"
"Real Cost","Tatsächlicher Aufwand"
"Egovs_Informationservice::Category","Kategorie"
"Egovs_Informationservice::Owner","Besitzer"
"Processing Status","Bearbeitungs Informationen"
"Content Information","Inhaltliche Information"
"Result Information","Ergebnis"
"Customer Name","Kundenname"
"Customer Address","Kunden Adresse"
"Customer E-Mail","Kunden E-Mail"
"Content","Inhalt"
"Sales Order Id","Bestellnummer"
"Comment","Kommentar"
"Task Description","Tätigkeitsbericht"
"View","Ansehen"
"New Owner","Neuer Besitzer"
"Egovs_Informationservice::Action","Aktion"
"Egovs_Informationservice::User","Bearbeiter"
"Egovs_Informationservice::Type","Art"
"Egovs_Informationservice::Question","Anfrage"
"Egovs_Informationservice::Answer","Antwort"
"Egovs_Informationservice::Save","Speichern"
"Egovs_Informationservice::Delete","Löschen"
"Egovs_Informationservice::Request Type","Anfrageart"
"Add Request Type","Anfrageart hinzufügen"
"Manage Requests Types","Anfragearten bearbeiten"
"Answer Type","Antwortart"
"Created","Erstellt"
"Customer#","Kundennr."
"Egovs_Informationservice::New","Neu"
"Egovs_Informationservice::Offer","Angeboten"
"Egovs_Informationservice::Waiting","Wartend"
"Egovs_Informationservice::Processing","In Bearbeitung"
"Egovs_Informationservice::Closed","Geschlossen"
"Egovs_Informationservice::Canceled","Abgebrochen"
"EMail Address is not valid!","E-Mail Adresse ist nicht gültig!"
"New Owner Template","Neues Besitzer Template"
"Customer Template","Kunden Template"
"Configuarable Virtual Product","konfigurierbares virtuelles Produkt"
"Send E-Mail to new Owner","Neuen Besitzer Informieren"
"Send E-Mail if user same as new owner","E-Mail senden wenn Bearbeiter und neuer Besitzer identisch."
"Send Status to Customer","E-Mail an Kunden senden"
"Information System E-Mail","Auskunftsdienst E-Mail"
"E-Mail Settings","E-Mail Einstellungen"
"User is still bound to information service.","Der Benutzer ist noch Einträgen im Auskunftsdienst zugeordnet!"
"Owner Template","verwendetes Template"
