"Customer canceled Payplace payment or an error occured.","Der Kunden hat die Payplace-Zahlung storniert oder es ist ein Fehler aufgetreten."
"Enable use of pseudocard numbers","Pseudokartennummern-Nutzung aktivieren"
"If yes pre-authorization is used, otherwise authorization is used.","Ja nutzt Pre-Autorisierung, sonst wird Autorisierung verwendet."
"Payment session has expired.","Das Zeitfenster zum Bezahlen ist abgelaufen."
"Testing Note","Testhinweis"
"TEXT_PROCESS_ERROR_-0530","Es ist ein interner Fehler aufgetreten. Bitte versuchen Sie es in wenigen Minuten noch einmal."
"TEXT_PROCESS_ERROR_-0531","Es ist ein interner Fehler aufgetreten. Bitte versuchen Sie es in wenigen Minuten noch einmal."
"There was an error at Payplace Payment. Customers payment was not valid.","Bei der Payplace-Zahlung ist ein Fehler aufgetreten. Die Zahlung des Kunden ist nicht gültig."
"Use pre-authorization","Pre-Autorisierung verwenden"
"Use pseudocard numbers to get full chargeback on cancellations (default:yes)","Pseudokartennummern müssen aktiviert sein  um den vollen Chargeback vom Anbieter zurückzuerhalten (Default:ja)"
"Customer was redirected to Payplace.","Kunde wurde zu Payplace weitergeleitet."
