"ProductFile description","Beschreibungsdatei"
"Product file","Beschreibungsdatei"
"Product file upload","Beschreibungsdatei hochladen"
"Product file image upload","Bild für Beschreibungsdatei hochladen"
"Product file image small","Bild für Beschreibungsdatei klein"
"Product file description","Beschriftung für Beschreibungsdatei"
"Maximum file size","Maximale Dateigröße"
"Remove product file","Beschreibungsdatei löschen"
"Disallowed file type.","Dateityp unzulässig."
"Allowed file types","Zulässige Dateitypen"
"Failed to create upload directory. Write permission?","Upload-Verzeichnis konnte nicht angelegt werden. Schreibrechte?"
"Destination folder is not writable or does not exists.","Upload-Verzeichnis existiert nicht oder Schreibrechte fehlen."
"File","Datei"
"Product file upload error. Maximum file size is","Fehler beim hochladen der Beschreibungsdatei. Die max. Dateigröße beträgt"
"Product file image upload error. Maximum file size is","Fehler beim hochladen des Beschreibungsbildes. Die max. Dateigröße beträgt"
