"Address","Adresse"
"Autoclose","Automatisch Schliessen"
"Sort order","Sortierreihenfolge"
"Enabled","Aktiviert"
"Title","Titel"
"Your Saferpay Account-ID.","Ihre Saferpay Konto-ID."
"Description","Beschreibung"
"Saferpay Account ID","Saferpay Konto ID"
"eMail Notification","eMail Benachrichtigung"
"If not empty, Saferpay will send an eMail to this address upon successful payment placement","Wenn ausgefüllt, Saferpay versendet eine eMail über einen erfolgreichen Bezahlvorgang."
"New order status","Neuer Auftragsstatus"
"Order is processing","Bestellung in Verarbeitung"
"Payment from applicable countries","Bezahlung für verfügbare Länder"
"Payment from Specific countries","Bezahlung für spezielle Länder"
"Showlanguages","Sprachauswahl"
"CVC","Kartenprüfnummer"
"You will be redirected to Saferpay website when you place an order.","Nach Absenden der Bestellung werden Sie zur Zahlung zu Saferpay weitergeleitet."
"Customer was redirected to Saferpay.","Kunde wurde zu Saferpay weitergeleitet."
"There was an error at Saferpay Payment.","Fehler im Zahlungsablauf bei Saferpay."
"Customer canceled Saferpay Payment.","Kunde hat Zahlung bei Saferpay abgebrochen."
"Customer successfully returned from Saferpay<br /><strong>Transaction ID: %s</strong>","Kunde hat Zahlung bei Saferpay abgeschlossen.<br /><strong>Transaktions-Kennung: %s</strong>"
"Customer was rejected by Saferpay","Kundenzahlung wurde von Saferpay verweigert."
"You will be redirected to Saferpay in a few seconds. If not, click next.","Sie werden zu Saferpay weitergeleitet. Falls nicht, klicken Sie bitte auf weiter."
"next","weiter"
"Enabled","Aktiviert"
"Title","Titel"
"Description","Beschreibung"
"Saferpay Account ID","Saferpay Konto ID"
"eMail Notification","eMail Benachrichtigung"
"If not empty, Saferpay will send an eMail to this address upon successful payment placement","Wenn ausgefüllt, Saferpay versendet eine eMail über einen erfolgreichen Bezahlvorgang."
"New order status","Neuer Auftragsstatus"
"Payment from applicable countries","Bezahlung für verfügbare Länder"
"Payment from Specific countries","Bezahlung für spezielle Länder"
"You will be redirected to Saferpay website when you place an order.","Nach Absenden der Bestellung werden Sie zur Zahlung zu Saferpay weitergeleitet."
"Customer was redirected to Saferpay.","Kunde wurde zu Saferpay weitergeleitet."
"There was an error at Saferpay Payment.","Fehler im Zahlungsablauf bei Saferpay."
"Customer canceled Saferpay Payment.","Kunde hat Zahlung bei Saferpay abgebrochen."
"Customer successfully returned from Saferpay<br /><strong>Transaction ID: %s</strong>","Kunde hat Zahlung bei Saferpay abgeschlossen.<br /><strong>Transaktions-Kennung: %s</strong>"
"Customer was rejected by Saferpay","Kundenzahlung wurde von Saferpay verweigert."
"Customer payment was rejected","Kundenzahlung wurde zurückgewiesen."
"You will be redirected to Saferpay in a few seconds. If not, click next.","Sie werden zu Saferpay weitergeleitet. Falls nicht, klicken Sie bitte auf weiter."
"next","weiter"
"Customer was redirected to Saferpay.","Kunde wurde zu Saferpay weitergeleitet."
"There was an error at Saferpay Payment. Customers payment was not valid.","Fehler im Zahlungsablauf bei Saferpay. Die Zahlung des Kunden war ungültig."
"Customer canceled Saferpay Payment.","Kunde hat Zahlungsvorgang bei Saferpay abgebrochen"

"TEXT_PROCESS_ERROR:-0011","Die Mandantennr. ist nicht korrekt (nicht gefüllt oder zu lang)."
"TEXT_PROCESS_ERROR:-0012","Der Mandant wurde im ePayment-System nicht gefunden."
"TEXT_PROCESS_ERROR:-0013","Der Mandant ist im ePayment-System derzeit als inaktiv gekennzeichnet."
"TEXT_PROCESS_ERROR:-0014","Der Name des Mandanten ist nicht gefüllt oder zu lang (ePayment intern)."
"TEXT_PROCESS_ERROR:-0015","Die Sprache des Mandanten ist nicht gefüllt oder zu lang (ePayment intern)."
"TEXT_PROCESS_ERROR:-0016","Der Status des Mandanten ist ungültig (ePayment intern)."
"TEXT_PROCESS_ERROR:-0020","Die Verbindung zum Webservice erfolgte nicht über HTTPS mit Client-Zertifikaten."
"TEXT_PROCESS_ERROR:-0021","Das für die Verbindung verwendete Client-Zertifikat darf nicht für den gewählten Mandanten verwendet werden."
