"Availability","Verfügbarkeit"
"In Stock Only","Nur Lieferbar"
"All","Alle"
"Search Site","Seiten Suche"
"Search ","Suchen"
"Search Terms","Beliebte Suchanfragen"
"Shop by","Einkaufen nach:"
"Fuzzy Search","unscharfe Suche"
"Customer #%s","KundenId: %s"
"You have to specify at least one search term","Sie müssen mindestens einen Suchbegriff eingeben."
"Category","Kategorie"
"Advanced Catalog Search","Erweiterte Katalogsuche"
"Show Category","zeige Kategorie"
"Show in Stock","zeige Verfügbarkeit"
