"Mandate was cancelled, you have to choose another reference or create a new mandate.","Mandat wurde abgebrochen, wählen Sie einen anderen Bezug oder erstellen Sie ein neues Mandat"
"No billing address available","Es ist keine Rechnungsadresse verfügbar!"
"Street is a required field","Straße wird benötigt"
"Country is a required field","Land wird benötigt"
"Postcode can't be 0","Die Postleitzahl kann nicht 0 sein"
"German postal codes must be five digits.","Deutsche Postleitzahlen müssen fünfstellig sein."
"Postcode is a required field","Postleitzahl wird benötigt"
"City is a required field","Stadt wird benötigt"
"Internal","Intern"
"External","Extern"
"Account info","Kontoinformation"
"Account holder","Kontoinhaber"
"IBAN","IBAN"
"BIC","BIC"
"Bank name","Bankname"
"Input is missing. Your old Mandate has been reactivated!","Fehlende Eingabe. Ihr altes Mandate wird weiter verwendet."
