"No billing address available","Es ist keine Rechnungsadresse verfügbar!"
"Street is a required field","Straße wird benötigt"
"Country is a required field","Land wird benötigt"
"Postcode can't be 0","Die Postleitzahl kann nicht 0 sein"
"German postal codes must be five digits.","Deutsche Postleitzahlen müssen fünfstellig sein."
"Postcode is a required field","Postleitzahl wird benötigt"
"City is a required field","Stadt wird benötigt"
"Internal","Intern"
"External","Extern"
"Account info","Kontoinformation"
"Account holder","Kontoinhaber"
"IBAN","IBAN"
"BIC","BIC"
"Bank name","Bankname"
"Debitor differs from banking account holder?","Rechnungsempfänger ist nicht Kontoinhaber:"
"Authorised signatory (First- Lastname)","<br />Hiermit bestätige ich, dass ich für das vorgenannte Konto zeichnungsberechtigt bin:<br /><br />(Vor- und Zuname der für obiges Konto zeichnungsberechtigten natürlichen Person)"
"account holder surname","Kontoinhaber Vorname"
"account holder surname/company authorised signatory","Kontoinhaber Vorname/<br />Firma: Zeichnungsberechtigte(r)"
"account holder surname/company name","Kontoinhaber Name/Firmenname"
"account holder name","Kontoinhaber Name"
"account holder name/company name","Kontoinhaber Name/Firmenname"
"account holder name/company contact person","Kontoinhaber Vorname/<br />Firma: Kontaktperson"
"account holder street","Kontoinhaber Straße"
"account holder housenumber","Kontoinhaber Hausnummer"
"account holder city","Kontoinhaber Stadt"
"account holder zip","Kontoinhaber Postleitzahl"
"account holder land","Kontoinhaber Land"
"bankname","Bankname"
"Custom text for mandate formular","Text für Mandatsformular"
"Refuse current and create a new one.","Aktuelles Mandat verwerfen und Neues erstellen:"
"View current mandate","Aktuelles Mandat aufrufen"
"View used mandate","Verwendetes Mandat aufrufen"
"View mandate","Mandat aufrufen"
"Mandate info","Mandats-Informationen"
"Customer requested to create a new mandate","Altes Mandat wurde verworfen da neues Mandat erstellt werden soll."
"Mandate PDF Template","Mandats-PDF-Template"
"Allow one off mandates","Erlaube Einmal-Lastschriften"
"Allow one off mandates for this shop?","Sollen Einmal-Lastschriften erlaubt sein?"
"Use mandate multiple times","Mandat für mehrmalige Nutzung"
"Use mandate one times","Mandat nur für einmalige Nutzung"
"Create your SEPA Mandate during checkout please.","Bitte erzeugen Sie Ihr SEPA Mandat beim Bezahlen."
"Change SEPA Mandate","SEPA Mandat verändern"
"<h4>Create your SEPA Mandate during checkout please.</h4>","<h4>Bitte erzeugen sie Ihr SEPA Mandat beim Bezahlen.</h4>"
"Save Mandate","Mandat speichern"
"Existing SEPA Mandate","existierendes SEPA Mandat"
"Mandate successfully modified.","Mandat wurde erfolgreich geändert."
"Old Mandate has been disabled.","Altes Mandat wurde deaktiviert und steht nicht mehr zur Verfügung."
"Support IBAN only","IBAN Only verwenden"
