"account holder city","Kontoinhaber Stadt"
"account holder housenumber","Kontoinhaber Hausnummer"
"account holder land","Kontoinhaber Land"
"account holder name","Kontoinhaber Vorname"
"account holder name/company authorised signatory","Kontoinhaber Vorname/<br />Firma: Zeichnungsberechtigte(r)"
"account holder postbox","Kontoinhaber Postfach"
"account holder street","Kontoinhaber Straße"
"account holder surname","Kontoinhaber Name"
"account holder surname/company name","Kontoinhaber Name/Firmenname"
"account holder zip","Kontoinhaber Postleitzahl"
"Account holder","Kontoinhaber"
"account holder","Kontoinhaber"
"Account info","Kontoinformation"
"Agent/Operator","Bearbeiter"
"Allow one off mandates for this shop?","Sollen Einmal-Lastschriften erlaubt sein?"
"Allow one off mandates","Erlaube Einmal-Lastschriften"
"Always send personal data to ePayBL","Sende immer personenbezogenen Daten an die ePayBL"
"Amendment Template","Amendment Template"
"An error occured while synchronizing SEPA mandates: %s","Es ist ein Fehler beim Abgleich der SEPA Mandate aufgetreten: %s"
"An error occurred while getting the requested content. Please contact the store owner.","Während der Verarbeitung ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shop-Betrieber."
"Bank name","Bankname"
"bankname","Bankname"
"BIC","BIC"
"Business unit","Geschäftsbereichskennung"
"Cash mark activated","Kassenzeichen aktiviert"
"Change SEPA Mandate","SEPA Mandat verändern"
"City is a required field","Stadt wird benötigt"
"City","Stadt"
"Country is a required field","Land wird benötigt"
"Country","Land"
"Create your SEPA Mandate during checkout please.","Bitte erzeugen Sie Ihr SEPA Mandat beim Bezahlen."
"Custom text for checkout page","Text für Checkout"
"Customer is account holders","Debitor ist Kontoinhaber"
"Customer requested to create a new mandate","Altes Mandat wurde verworfen da neues Mandat erstellt werden soll."
"Date of cancellation","Datum der Kündigung"
"Date of creation","Datum der Erstellung"
"Date of last use","Datum der letzten Nutzung"
"Date of the last maturity","Datum der letzten Fälligkeit"
"Debitor City","Stadt des Schuldners"
"Debitor Country","Land des Schuldners"
"Debitor differs from banking account holder?","Zahlungspflichtiger ist nicht Kontoinhaber:"
"Debitor Firstname","Vorname des Schuldners"
"Debitor Firstname/company authorised signatory","Vorname des Schuldners/<br />Firma: Zeichnungsberechtigte(r)"
"Debitor Postbox","Postfach des Schuldners"
"Debitor Street","Straße des Schuldners"
"Debitor Surname","Nachname des Schuldners"
"Debitor Surname/company name","Nachname des Schuldners/<br />Firma: Name"
