"Note","Hinweis"
"Be sure that the server can connect to 'http://ec.europa.eu/taxation_customs/vies/services/checkVatService'","Achtung der Server muss Zugriff auf 'http://ec.europa.eu/taxation_customs/vies/services/checkVatService' haben!"
"Leave empty for default (20 seconds) (Min 5 - Max 300).","Leer lassen für DEFAULT (20 Sekunden) (Min 5 - Max 300 Sekunden)"
"VAT Validation with VIES","Umsatzsteuer ID - Validierung mit Vies"
"Country not supported for automatic VAT validation.","Das angegebene Land wird für die automatische Validierung nicht unterstützt."
"The entered VAT number ist not valid!","Die eingebene USt-ID ist nicht korrekt!"
"Can't validate entered VAT number, an internal error occured.","Die eingegebene USt-ID kann nicht validiert werden! Es ist ein interner Fehler aufgetreten, versuchen Sie es bitte später noch einmal!"
"Can't validate VAT number, validation service is unavailable.","Die eingegebene USt-ID kann nicht validiert werden! Der Validierungsservice ist momentan nicht erreichbar."
"VAT number is not valid for entered company.","Die eingegebene USt-ID ist für die angegebene Firma ungültig."
"VAT number is not valid for entered country.","Die eingegebene USt-ID ist für das in der Adresse angegebene Land ungültig."
"Settings for group auto assignment","Einstellungen für automatische Kundengruppenzuordnung"
"Is for company","Firmenfeld ist ausgefüllt?"
"Is VAT required","UStID ist ausgefüllt?"
"Assigned countries","Zugeordnete Länder"
"Item with the same country %s, company %s and Vat %s condition already assigned to customer group %s (ID: %s)!","Zuordnung von Land %s, Firma %s und UStID %s existiert bereits für die Kundengruppe %s (ID: %s)!"
"Constraint error:","Einschränkung:"
"Country %s, check company: %s or check VAT: %s already assigned to group %s (ID: %s)","Zuordnung von Land %s, Firma %s und UStID %s existiert bereits für die Kundengruppe %s (ID: %s)!"
"Missing parameters countryCode and vatNumber","Parameter für 'countryCode' und 'vatNumber' fehlen"
"Missing parameter vatNumber","Parameter 'vatNumber' fehlt"
"Country code must be type of string.","Ländercode muss vom Typ String sein"
"Country code must follow the pattern [A-Z]{2}.","Ländercode muss genau 2 Zeichen aus A-Z enthalten."
"VAT number needs to start with 2 letter A-Z country code.","Die UStID muss mit genau 2 Zeichen aus A-Z beginnen die den Ländercode bilden (z. B. DE)."
"Countries for group auto assignment","Bedingungen für automatische Zuordnung zur Kundengruppe"
"VAT number must be type of string.","UStID muss vom Typ String sein."
"VAT number must follow the pattern [0-9A-Za-z\+\*\.]{2,12}.","UStID darf nur folgende Zeichen enthalten: [0-9A-Za-z+*.] und muss min. 2 und max. 12 Zeichen lang sein."
"Value of %s must be type of string.","Der Wert von '%s' muss vom Typ String sein."
"Company type code must follow the pattern [A-Z]{2}\-[1-9][0-9]?.","Unternehmensart muss aus einem 2stelligen Buchstabencode [A-Z], einem Bindestrich [-], einer Zahl aus [1-9] und einer Zahl aus [0-9] bestehen (Bsp.: AB-09)."
"Value of %s must be type of string or number.","Der Wert von '%s' muss vom Typ String oder Number sein."
"Please enter valid VAT number ([2 Letter country code]Number).","Bitte eine korrekte UStID eingeben ([2 Buchstaben für Land]Nummer)."
"Showing %s from %s errors.","Zeige %s von %s Fehlern."
"No matter","irrelevant"
