ï»¿"Last Payment Method","letztes Zahlverfahren"
"New","Neu"
"Used","Benutzt"
"ZP Konto","Zahlpartnerkonto"
"Error","Fehler"
"Disabled","Deaktiviert"
"Bewirtschafter is missing.","Die Angaben zum Bewirtschafter fehlen."
"Mandant is missing.","Die Angaben zum Mandanten fehlen."
"Mandanten Prefix is wrong or missing.","Die Angaben zum Präfix des Mandanten fehlen oder sind falsch."
"No free Kassenzeichen found","Keine freien Kassenzeichen gefunden"
"Create Kassenzeichen","Kassenzeichen erzeugen"
"Start","Startwert des Kassenzeichens"
"Increment","Erhöhung des Kassenzeichen um"
"Maximum","Hächstwert des Kassenzeichens"
