"Back to Card","Zurück zum Warenkorb"
"Buy Now","Jetzt Kaufen"
"Payment Method not set!","Bitte wählen Sie eine Zahlungsart aus!"
"Singular amount","Einzahlbetrag"
"Please log in!","Bitte anmelden!"
"Registered Editors","Registrierte Bearbeiter"
"Change","Wechselgeld"
"Please login first!","Bitte melden Sie sich erst an!"
"Print preview","Druckansicht"
"Print Page","Seite ausdrucken"
"Depositors:","Einzahler:"
"Quittance","Quittung"
"Duplicate","Kopie"
"They were served by %s %s","Sie wurden bedient von %s %s"
"Process: %s","Vorgang: %s"
"Transaction number: %s","Transaktionsnummer: %s"
"Type of fee","Gebührenart"
"Fee rate","Gebührensatz"
"Paymentmethod: %s","Zahlart: %s"
"Change amount","Wechselgeld"
