"Enable Log","Log aktivieren"
"Enable Log Cleaning","Log Bereinigung aktivieren"
"Error Email Recipient","Empfänger Fehler-E-Mail"
"Error Email Sender","Absender Fehler-E-Mail"
"Error Email Template","Vorlage Fehler-E-Mail"
"Frequency","Häufigkeit"
"If set to ""No"" this option disables recently viewed products and compare products functionality for not logged in customers.","Bei der Einstellung ""Nein"" deaktiviert diese Option die kürzlich angezeigten Produkte und das Artikel-Vergleichen für Kunden welche nicht angemeldet sind."
"Log","LOG-Einstellungen"
"Log Cleaning","Log Bereinigung"
"Log cleanup Warnings","Warnungen während der Log Bereinigung"
"Save Log, Days","Log speichern, Tage"
"Start Time","Startzeit"
"Visitors only","Nur Besucher"
