"Executed SQL","SQL ausführen"
"Template path","Template-Pfad"
"Rendered Blocks","gerenderte Blöcke"
"List of all rendered blocks.","Liste aller gerenderten Blöcke"
"name in layout","Name im Layout"
"block class","CSS-Class"
"template","Template"
"rendering in","gerendert in"
"Layout Blocks","Layout-Blöcke"
"List of all instantiated blocks, few of them might not be rendered.","Liste aller instanziierten Blöcke, einige von ihnen werden möglicherweise nicht gerendert."
"Toggle Template Hints","Template Hinweise umschalten"
"Toggle Translate Inline","Inline-Übersetzung umschalten"
"Toggle FPC Debug","FPC Debug umschalten"
"Search Config","Config durchsuchen"
"Search examples: <em>default/system</em>, <em>global/resources/default_setup</em>, <em>frontend/events</em> or <em>modules</em>. If you don&#39;t know what to search check all the","Suchbeispiel: <em>default/system</em>, <em>global/resources/default_setup</em>, <em>frontend/events</em> oder <em>modules</em>. Wenn Sie nicht wissen, wonach sie suchen, dann schauen Sie unter"
"Config","Config"
"Value","Wert"
"Configurations not found for this query.","Dieser Wert wurde in der Config nicht gefunden."
"Controller information","Controller Informationen"
"Variable","Variable"
"Route Name","Route Name"
"Controller Module/Name","Controller Module/Name"
"Action Name","Action Name"
"Request Path","Request Pfad"
"COOKIES Variables","COOKIE Variablen"
"No COOKIE data","keine COOKIE Daten"
"SESSION Variables","SESSION Variablen"
"No SESSION data","keine SESSION Daten"
"GET Variables","GET Variablen"
"No GET data","keine GET Daten"
"POST Variables","POST Variablen"
"No POST data","keine POST Daten"
"Hide Toolbar","Toolbar ausblenden"
"Hide","ausblenden"
"DEBUG","DEBUG"
"About","Über"
"Close","Schließen"
"Show Toolbar","Toolbar anzeigen"
"Group Type","Gruppen-Typ"
"Search Results","Suchergebniss"
"File path","Datei-Pfad"
"Grouped classes not found for this uri.","Gruppierte Klassen werden nicht für dieses URL gefunden."
"Back","Zurück"
"Layout Updates For This Handle","Layout-Updates für dieses Handle"
"Update xml file","XML aktualisieren"
"Package information","Packet-Informationen"
"Design Area","Design Bereich"
"Package Name","Packet Name"
"Template Theme","Template Theme"
"Handles for this request","Handle für diese Anfrage"
"Handle","Handle"
"Page Layout","Seiten-Layout"
"View Page Layout","zeige Seiten-Layout"
"Layout updates","Layout Updates"
"Update","Update"
"MODELS","MODELS"
"Resource Name","Resource Name"
"Model Class","Model Class"
"Times Instantiated","Zeit instanziiert"
"COLLECTIONS","COLLECTIONS"
"Type","Typ"
"Class","Class"
"SQL","SQL"
"QUERIES","QUERIES"
"Disable SQL Profiler","SQL Profiler deaktivieren"
"Time","Zeit"
"Action","Aktion"
"Query","Abfrage"
"SELECT","SELECT"
"EXPLAIN","EXPLAIN"
"Enable SQL Profiler","SQL Profiler aktivieren"
"SQL Profiler is not enabled.","Der SQL Profiler ist nicht aktiviert."
"Params","Parameter"
"Performance","Performance"
"Clear Magento Cache","Magento Cache leeren"
"Visible Panels","zeige Panels"
"Update","Aktualisieren"
"all","Alles"
"model","Model"
"block","Block"
"helper","Helper"
"Search Grouped Class Name","Suche gruppierte Class Name"
"Search examples: <em>catalog/product</em>, <em>core/url</em>, etc.","Such Beispiel: <em>catalog/product</em>, <em>core/url</em>, etc."
"Group Type","Gruppentyp"
"Class","Class"
"File path","Dateipfad"
"Module","Modul"
"Version","Version"
"Status","Status"
"Actions","Action"
"Toggle Status","Status ändern"
"Enable Debug Toolbar","Debug Toolbar aktivieren"
"Show Versions Panel","zeige Versions Panel"
"Show Performance Panel","zeige Performance Panel"
"Show Configuration Panel","zeige Configuration Panel"
"Show Controller Panel","zeige Controller Panel"
"Show Models Panel","zeige Models Panel"
"Show Layout Panel","zeige Layout Panel"
"Show Blocks Panel","zeige Blocks Panel"
"Show Logs Panel","zeige Logs Panel"
