"Vendor Order","Lieferantenbestellung"
"Action","Aktion"
"Message","Nachricht"
"History to Order '%s'","Verlauf für Bestellung '%s'"
"Billingaddress","Rechnungsempfänger"
"Contract","Rahmenvertrag"
"Vendor","Lieferant"
"Order Information","Informationen zur Bestellung"
"Order#","Bestellnummer"
"Resend","erneut Versenden"
"Email Attachment","Email mit Anhang"
"Pending","Wartend"
"Success","Erfolg"
"Error","Fehler"
"Permanent Error","Permanenter Fehler"
"History","Verlauf"
"Download Time","Zeitpunkt"
"Delete","Löschen"
"Enabled","Aktiv"
"Deleted","Gelöscht"
"Export Order","Bestellexport"
"Template for PlainText","Vorlage für den Nur-Text-Export"
"Text Template","Text-Vorlage"
