"Import Supplier Portal","Lieferantenportal Import"
"Category","Kategorie"
"No Tax Class","Steuerklasse für keine Steuer"
"Reduced Tax Class","Steuerklasse für ermäßigte Steuer"
"Normal Tax Class","Steuerklasse für allgemeine Steuer"
"Tax Rate for Reduced Tax [%]","Steuerbetrag für ermäßigte Steuer [%]"
"Tax Rate for Normal Tax [%]","Steuerbetrag für allgemeine Steuer [%]"
"Fetch Data","Daten abholen"
"Import Information","Informationen zum Import"
"Product Selection for Import","Produktauswahl für Import"
"Default Quantity","Default Menge"
"Product with SKU with '%s' already exist!","Produkt mit SKU '%s' existiert bereits."
"Product(s) with SKU '%s' already exist! Existing Products are not overwritten","Produkte mit der Artikelnummer '%s' existieren bereits! Existierende Produkte werden nicht überschrieben"
