"Customer registered number is not valid!","Kundennummer ist nicht gültig!"
"Customernumber","Kundennummer"
"New Shopping","Neuer Einkauf"
"Required. Please agree the following Text: ","Benötigtes Feld. Bitte bestätigen sie den folgenden Text:"
"Check if you want move the following Product to Wishlist: ","Bitte klicken Sie hier wenn Sie das folgende Produkt auf den Wunschzettel setzen wollen: "
"Please put in Quantity for: ","gewünschte Menge für das Produkt: "
"Sorry,an Error occurs:<br/>Maybe you have exceeded the payment limits or you can not buy this products together. Please contact the Owner of the Webshop!","Entschuldigung es ist ein Fehler aufgetreten.<br/>Entweder haben Sie die Limits der Bezahlmodule überschritten oder Ihre Produkte können nicht zusammen gekauft werden. Bitte informieren Sie den Webshop Betreiber! "
"This Shipping Method is not availible using this address!","Diese Versandmethode ist für diese Adresse nicht verfügbar!"
"Please enter valid zip/postal code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Invalid Date of Birthday!","Ungültiges Geburtsdatum!"
"Select one option, please!","Bitte wählen Sie eine Option!"
"Display Billing Adr. Text","Rechnungsadr. Text anzeigen"
"Billing Adr. Text","Rechnungsadr. Textblock"
"Display Shipping Adr. Text","Versandadr. Text anzeigen"
"Shipping Adr. Text","Versandadr. Textblock"
"Zip Code","Plz"
"Street","Straße"
"Field e-Mail should be allways set to required!","Das Feld e-Mail sollte immer Pflichtfeld sein!"
"Store Pickup","Selbstabholung"
"Delete All Items","Alle Artikel entfernen"
"Do you can login here.","Hier können Sie sich Anmelden."
"Please select a payment method!","Bitte wählen Sie eine Zahlweise!"
"Please select a shipping method!","Bitte wählen Sie eine Versandart!"
"no valid Address given","keine gültige Adresse"
"Prefix","Anrede"
"Please select your shipping address","Bitte wählen Sie Ihre Versandadresse"
"Your Transaction Number is:","Ihr Kassenzeichen ist:"
"Your order # is:","Ihre Bestellnummer ist:"
"Select a billing address from your address book","Bitte wählen Sie Ihre Rechnungsadresse"
"Please enter first name.","Bitte geben Sie Ihren Vornamen ein."
"Please enter last name.","Bitte geben Sie Ihren Nachnamen ein."
"Please enter street.","Bitte geben Sie Ihre Strasse ein."
"Please enter city.","Bitte geben Sie Ihren Ort ein."
"Please enter telephone.","Bitte geben Sie Ihre Telefonnummer ein."
"Please enter zip/postal code.","Bitte geben Sie Ihre PLZ ein."
"Please enter country.","Bitte geben Sie Ihr Land ein."
"Please enter region.","Bitte geben Sie Ihr Bundesland ein."
"Please enter email.","Bitte geben Sie Ihre e-Mail ein."
"Please enter company.","Bitte geben Sie Ihre Firma ein."
"Please enter fax.","Bitte geben Sie Ihre Faxnummer ein."
"Please enter region.","Bitte geben Sie Ihr Bundesland/Land ein."
"I agree","Ich stimme zu"
"Please agree to all additional Conditions before placing the order.","Bitte bestätigen sie die zusätzlichen Vereinbarungen!"
"e-Mail address is not valid.","E-Mail-Adresse ist ungültig."
"You can get a order confirmation with valid e-Mail Address only.","Eine Bestellbestätigung können sie nur mir einer gültigen E-Mail-Adresse erhalten."
"Please send me a confirmation of this order by e-Mail","Ich wünsche eine Bestätigung der Bestellung per E-Mail"
"Out of Germany","Außerhalb Deutschlands"
"First Name","Vorname"
"Last Name","Nachname"
"Back to Shopping Cart","Zurück zum Warenkorb"
"%s was successfully added to your shopping cart.","%s wurde erfolgreich in den Warenkorb gelegt."
"&laquo; Back to Billing Information","&laquo; Zurück zu Rechnungsinformationen"
"&laquo; Back to Select Addresses","&laquo; Zurück zur Adressauswahl"
"&laquo; Back to Shopping Cart","&laquo; Zurück zum Warenkorb"
"* Required Fields","* Pflichtfelder"
"Add","Hinzufügen"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Address","Anschrift"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> von %s"
"After adding a product redirect to shopping cart","Nach dem Hinzufügen eines Produktes zum Warenkorb weiterleiten"
"Allow Guest Checkout","Bezahlvorgang als Gast ermöglichen"
"Already registered?","Bereits registriert?"
"An error occurred in the process of payment","Fehler im Bezahlvorgang"
"Apply Coupon","Gutschein einlösen"
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Back to Shipping Information","Zurück zu den Versandinformationen"
"Based on your selection, you may be interested in the following items:","Ausgehend von Ihrer Auswahl könnten Sie auch an den folgenden Produkten interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungs&shy;information"
"Billing Information - %s","Rechnungsinformation - %s"
"Can not add item to shopping cart","Konnte Artikel nicht in den Warenkorb legen"
"Can not apply coupon code.","Der Gutschein konnte nicht eingelöst werden."
"Can\'t open overview page","Übersichtsseite konnte nicht geöffnet werden."
"Cancel Coupon","Gutschein stornieren"
"Cannot remove item","Artikel kann nicht entfernt werden"
"Cannot update shopping cart","Warenkorb kann nicht aktualisiert werden"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart Subtotal:","Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox text","Checkbox Text"
"Checkout","Zur Kasse"
"Checkout Conditions","Widerrufsbelehrung u. ä."
"Checkout Options","Bezahloptionen"
"Checkout Section","Bezahlvorgang"
"Checkout Terms and Conditions","AGB"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse oder registrieren"
"Checkout method","Wie möchten Sie zur Kasse gehen?"
