"Stock Movement %s has been created.","Die Lagerbestellung %s wurde erstellt."
"Date Ordered","Bestelldatum"
"Submit","Absenden"
"Stock Order # %s","Auftrag Nr. %s"
"Desired Date","Wunschtermin"
"Qty Delivered","Liefermenge"
"Delivery Hint","Lieferungs Hinweis"
"Package","VPE"
"Order Sheet","Aufträge ansehen"
"Actions","Aktionen"
"Delete","Löschen"
"Switch to Delivered","Geliefert setzen"
"Ordered/Delivered","Bestellt/Geliefert"
"Limit exceeded","Limit erreicht"
"Requirements to move","Bestellmenge in VPE"
"Package Size","Stck./VPE"
"New Stock Movement","Neue Lagerbewegung"
"Source","Quelle"
"Destination","Ziel"
"Order Quantity","Bestellte Menge"
"Quantity Delivered","Gelieferte Menge"
"Warnings Per Stock","Auftrag erstellen"
"Edit Stock","Lager bearbeiten"
"Stock Titel","Lager Titel"
"Qty","Lagerbestand"
"Total Qty","Gesamtbestand"
"From","Von"
"To","Nach"
"Postcode","PLZ"
"Street","Strasse"
"City","Stadt"
"Phone","Telefon"
"Fax","Fax"
"Email","Email"
"Type","Typ"
"Default Order Qty","Default Bestellmenge"
"Warning Qty","Anzahl für Warnung"
"Configure Stock","Lager konfigurieren"
"Stock Inventory","Lagerbestand"
"Inventory Per Stock","Bestand per Lager"
"Edit Stock Movement","Lagerbewegung bearbeiten"
"Note","Bemerkung"
"Stock Movements","Lagerbewegungen"
"Stock Movement","Auftrag buchen"
"Delete Stock","Lager löschen"
"Save Stock","Lager speichern"
"Add Stock","Lager hinzufügen"
"Stock Manager","Verwaltung der Lager"
"Save","Speichern"
"Change Order Status","Bestellstatus bearbeiten"
"Change Stock Status","Lagerstatus bearbeiten"
"Existing Stock Orders","Vorhandene Lagerbestellungen"
"New Stock Order","Neue Lagerbestellung"
"Stock Order","Lagerbestellung"
"Manage Stock Orders","Lagerbestellungen"
"Distributor","Lieferant"
"Quantity Ordered","Bestellmenge"
"Cost Price","Einkaufspreis"
"From Cost Price/Article","Ab Einkaufspreis/Stück"
"Order Date","Bestelldatum"
"Delivery Date","Lieferdatum"
"Delivered","Geliefert"
"Rack","Regal"
"Storage","Lagerort"
"Stock Order Manager","Lagerbestellungen"
"Extended Inventory", "Erweiterte Lagerverwaltung"
"Edit","Bearbeiten"
"Product","Produkt"
"sku","Artikelnummer"
"Save Stock Order","Lagerbestellung Speichern"
"Edit Stock Order","Lagerbestellung Bearbeiten"
"Ordered","Bestellt"
"Avail Qty","Im Lager"
"Stock","Lager"
"Stock Value", "Bestandswert"
"Stock Status","Lagerstatus"
"Source","Bezugsquelle"
"Destination","Bestimmungsort"
"Order Quantity","Bestellmenge"
"New Stock Movement","Einzelauftrag für Lagerbewegung erstellen"
"Quantity Delivered","Liefermenge"
"In stock", "Auf Lager"
"Not in stock", "Nicht auf Lager"
"Stock overview", "Lagerüberblick"
"Total cost price", "Gesamtlagerwert"
"Total order price", "Gesamtbestellwert"
"Total quantity", "Gesamtlagerbestand"
"Add Stock Order", "Lagerbestellung hinzufügen"
"Stock Order Information", "Lagerbestellungsinformation"
"Available quantity can't be lesser than zero!","Lagermenge kann nicht kleiner 0 sein!"
"Available quantity can't be greater than quantity ordered!","Lagermenge kann nicht größer als bestellte Menge sein!"
"Item was successfully saved", "Element erfolgreich gespeichert"
"Unable to find item to save", "Kein Element zum speichern gefunden"
"Skipping canceling of order item for extended stock","Überspringe Stornierung dieses Elements für erweiterte Lagerverwaltung"
"No items found","Keine stornierbaren Elemente gefunden"
"Item is not managed by extended stock","Element wird nicht von erweiterter Lagerverwaltung verwaltet"
"Data integrity is corrupted [New quantity: %s > Quantity ordered: %s]","Datenintegrität nicht mehr gewährleistet [Neuer Lagerbestand: %s > bestellter Bestand %s]"
"Data integrity is corrupted, not all items can return to stock (rest: %s)","Datenintegrität nicht mehr gewährleistet, nicht alle Elemente konnte in Lager zurückgebucht werden (Rest: %s)"
"Extended Stock","Erweiterte Lagerverwaltung"
"Item in order allready canceled [Order ID: %s;Item ID: %s]","Element in Bestellung ist bereits storniert [Bestell ID %s;Element ID: %s]"
"Product is not managed by stock [Product ID: %s]","Produkt wird nicht von erweiterter Lagerverwaltung verwaltet [Produkt ID: %s]"
"Price can't be less than 0, skipping extended stock save [Product ID: %s]","Preis kann nicht kleiner 0 sein, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Ordered date can't be tomorrow, skipping extended stock save [Product ID: %s]","Bestelldatum kann nicht in der Zukunft liegen, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Item not usable for extended stock, skipping extended stock save [Product ID: %s]","Element nicht verwaltbar durch erweiterte Lagerverwaltung, überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Ordered quantity is less than 1","Bestellmenge ist kleiner 1"
"Unknown reason","Unbekannter Fehler"
", skipping extended store save. [Product ID: %s]",", überspringe Speicherung in erweiterter Lagerverwaltung [Produkt ID: %s]"
"Order date can't be tomorrow.","Das Bestelldatum kann nicht in der Zukunft liegen."
"Delivery date can't be tomorrow.","Das Lieferdatum kann nicht in der Zukunft liegen."
"Delivery date can't be before order date!","Das Lieferdatum kann nicht vor dem Bestelldatum liegen!"
"Delivery date can be only %s months back.","Das Lieferdatum kann maximal %s Monate zurückliegen."
"Delivery date was set but item was not set to delivered [Product ID: %s].","Bestelldatum wurde angegeben, aber Bestellung wurde nicht auf geliefert gesetzt [Produkt ID: %s]."
"An unexpected error occured.","Es ist eine unerwarteter Fehler aufgetreten."
"No products found to change stock value.","Es wurden keine Produkte gefunden, deren Lagerbestand geändert werden könnte."
"stock to decrease","abbuchen von Lager"
"decrease product qty","Artikel ausbuchen"
"Bestellscheine","Aufträge ansehen"
"Order ID","Auftragsnummer"
"Stock Order # %s","Auftrag Nr. %s"
"Outstanding Qty","Anzahl in offenen Bestellungen"
"St","Stück pro VPE"
"Date","Wunschdatum"
"Total of %d record(s) were successfully deleted","Es wurden %d Bestellung(en) gelöscht"
