"Your Cart contains some Items that for saxony citizen only.","Die angegebene Postleitzahl gehört leider nicht zu Sachsen. Bitte beachten Sie, dass nur Bürgerinnen und Bürger aus Sachsen die Möglichkeit haben, Titel zu bestellen."
"You have too much stars at your cart.","Sie haben zu viele Sternchen in Ihrem Warenkorb."
"You have too much limited items at your cart.","Sie haben zu viele limitierte Produkte in Ihrem Warenkorb."
"Supply Fee","Bereitstellungspauschale (ab 6 Sternchen)"
"Supply Fee extra","zzgl. Bereitstellungspauschale (ab 6 Sternchen)"
"There are too much orders at this period.","Es ist leider nur eine Bestellung pro Halbjahr möglich. Wir freuen uns auf Ihre Bestellung im nächsten Halbjahr!"
"Maximum Quantity is excceded.","Die maximale Anzahl pro Artikel ist überschritten."
"Deliver","Ausliefern"
"Missing Items","Fehlende Artikel"
"Total quantity of products","Summe der fehlenden Produkte"
"Max. Number of publications","Max. Anzahl der Publikationen"
"Max. Number of stars","Max. Anzahl der Sternchen"
"Max. Number of orders per period","Max. Anzahl der Bestellungen pro Periode"
"Max. Number per product","Max. Anzahl pro Produkt"
"Periods beginning","Perioden Anfang"
"Periods end","Perioden Ende"
