"Save And Continue Edit","Speichern und weiter bearbeiten"
"Verteiler","Verteiler bearbeiten"
"description","Beschreibung"
"Order Items","Bestellartikel"
"Aktion","Aktion"
"Edit","Bearbeiten"
"Page","Seite"
"of %s pages","von %s Seiten"
"or","oder"
"per page","pro Seite"
"View","Zeige"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Export CSV","CSV exportieren"
"Export Filters","Filter exportieren"
"Export to:","Export als:"
"Qty","Menge"
"Delete","Löschen"
"Creating Distribution Order","Verteiler Bestellung anlegen"
"Submit Order","Verteiler Bestellung absenden"
"Something went wrong...","Es ist ein Fehler aufgetreten..."
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Verteiler","Verteiler bearbeiten"
"description","Beschreibung"
"Order Items","Bestellartikel"
"Aktion","Aktion"
"Edit","Bearbeiten"
"Page","Seite"
"of %s pages","von %s Seiten"
"or","oder"
"per page","pro Seite"
"View","Zeige"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Export CSV","CSV exportieren"
"Export Filters","Filter exportieren"
"Export to:","Export als:"
"Qty","Menge"
"Delete","Löschen"
