"Please use Paymentmethods without user input only!","Bitte nutzen sie nur Zahlmethoden die ohne Benutzereingabe auskommen!"
"Paymentmethod","Zahlmethode"
"Shippingmethod","Liefermethode"
"Enter Date, please!","Bitte Datum eingeben!"
"Is not a Abo Product","Dieser Artikel ist kein Aboartikel!"
"Abo Product has no release Date!","Dieser Aboartikel hat kein Ausgabedatum!"
"Abo Product is not enabled!","Dieser Aboartikel ist nicht aktiv!"
"Please select a customer","Bitte wählen Sie einen Kunden"
"Abo Product has no release Date!","Abo Produkt hat kein Ausgabedatum!"
"Customer can not deleted, because of existing or deleted Abo Contracts.","Kunde kann wegen bestehender oder gelöschter Aboverträge nicht gelöscht werden."
"Abo Print Note 1","Abo Druck Notiz 1"
"Abo Print Note 2","Abo Druck Notiz 2"
"Allow Courier Shipment","Versand durch Kurier"
"Company Name","Firma"
"Shipping","Versand"
"Finish Shipping","Lieferung Abschließen"
"Print Deliverynote","Lieferschein drucken"
"Print Label","Etikett drucken"
"Shipping Date","Lieferdatum"
"Reload","Aktualisieren"
"Shipping Company","Lieferfirmenname"
"Shipping Name","Liefername"
"Billing Company","Rechnungsfirmenname"
"Billing Name","Rechnungsname"
"Invoice per Billing Address","Rechnung per Rechnungsadresse"
"Invoice per Shipping Address","Rechnung per Lieferadresse"
"Action canceled! Product is out of stock!","Aktion abgebrochen! Ein Produkt ist nicht auf Lager!"
"Product is out of stock!","Ein Produkt ist nicht auf Lager!"
"Contract Information","Vertragsinformationen"
"Product","Produkt"
"Item was successfully deleted","Abonnement wurde gelöscht."
"Product used by Subscribtion, it can not be deleted!","Das Produkt ist abonniert es kann nicht gelöscht werden!"
"Postcode","PLZ"
"Customer Id","Kundennummer"
"Date From","Vertragsbeginn"
"Product Name","Produkt Name"
"Create Packingslip","Lieferscheine erstellen"
"Invoice per Item","Rechnung per Artikel"
"Invoice grouped","Rechnung gruppiert"
"Invoice delivered Abo Items","Rechnung für gelieferte Abonnementpositionen erstellen"
"Street","Strasse"
"Product added to delivery list.","Das Produkt wurde in die Lieferliste aufgenommen."
"Abo Product Release Date","Abo Ausgabedatum"
"Invoice Subscribtion","Abonnements berechnen"
"Deliver Subscribtion","Abonnements beliefern"
"Deliver Subscription Contracts","Abonnement Verträge ausliefern"
"Print Packingslip","Lieferscheine drucken"
"Deliver Subscription Product","Abo Produkt zur Auslieferung bereitstellen"
"Product added to delivery list.","Dieses Produkt wurde der Lieferliste hinzugefügt"
"Show Contract '%s'","Vertrag Ansehen '%s'"
"Delete Contract","Vertrag löschen"
"Action","Aktion"
"View","Ansehen"
"Subscription Contract Positions Manager","Abonnement Vertragspositionen"
"Add Subscription Contract","Abonnement hinzufügen"
"Add To Contract","Hinzufügen"
"Contract Items","Vertrags Produkte"
"Contract","Vertrag"
"Delete","Löschen"
"Sku","Artikelnummer"
"Qty","Anzahl"
"Contract Details","Details des Vertrages"
"From Date","Anfangs Datum"
"Billing Address","Rechnungsanschrift"
"Shipping Address","Lieferanschrift"
"Enter From Date, please!","Bitte geben Sie das Startdatum an!"
"Enter Contract Products, please!","Bitte geben Sie die Vertragsprodukte an!"
"Enter Billing Address, please!","Bitte geben Sie die Rechnungsadresse an"
"Enter Shipping Address, please!","Bitte geben Sie Liferanschrift an"
"No valid data given!","Es wurden keine gültigen Daten übergeben!"
"Is Abo Base Product","Ist Abonnement Stammartikel"
"Subscribe","Abonnements"
"Subscribtion Contract","Abonnement Verträge"
"Following Address is used by subscribe contract:","Folgende Adresse ist durch einen Abonnementvertrag benutzt:"
"Create Subscibtion Product","Abo Produkt ableiten"
"Derivate to:","Abgeleitet von:"
"Abo Product derivated","Abo Product abgeleitet"
"Product can not be both subscription base and derivate!","Ein abgeleitetes Produkt kann nicht Stammartikel sein!"
