"Available discount quota: %s","Verfügbares Rabattguthaben %s"
"Freecopies Abo Overview","Abo-Artikel"
"No discount quota available","Kein Rabattguthaben verfügbar"
"Parent Customer ID","Hauptkunden ID"
"Child Customers","Nebenkunden"
"Click here to view your Parent Customer tab content","Klicken Sie hier, um die zugeordneten hauptkunden anzuzeigen"
"You can not change customer having some orders!","Kunden die Bestellungen haben können nicht erneut zugewiesen werden."
"Current abandoned discount quota: %s","Momentan in unbestellten Warenkörben gebunden: %s"
"Discount Quota","Rabattguthaben"
"Initial Discount Quota","Initiales Rabattguthaben"
"Is set when saving.","Wird beim speichern des Rabattguthabens gesetzt."
"Selected store and website are not associated!","Der gewählte Store befindet sich nicht in der Website!"
"Parent Customer Name","Name des Hauptkunden"
"Parent Customer","Hauptkunde"
"Parent Customer Settings","Hauptkunden Einstellungen"
"Remove Parent Customer","Hauptkunden entfernen"
"Can not copy Address without Parent Customer","Bitte bestimmen Sie den Hauptkunden dessen Adresse zu kopieren ist."
"Use as Parent","als Hauptkunde benutzen"
"Copy Parent Address","Adresse des Hauptkunden übernehmen"
"No Parent Address found","Keine Hauptkunden Adresse gefunden"
"Discount can't be less than 0!","Rabatt kann nicht kleiner 0 sein!"
"Freecopies","Freiexemplare"
"Freecopies for all products","Freiexemplare über alles"
"Set Freecopies","Freiexemplare"
"Base Freecopies","Initiale Freiexemplare"
"Delete all entries with values smaller than zero","Löschen durch Eintrag von Werten kleiner Null."
"Is set when saving freecopies.","Wird beim Speichern der Freiexemplare gesetzt."
"Individuals","Individuelle"
"Globals","Uniforme"
"Ora Account Number","Oracle Kundennummer"
"There was an error while loading freecopies, please reload the whole page.","Es ist ein Fehler beim Laden der Freiexemplare aufgetreten, bitte Laden Sie die gesamte Seite neu."
