"TAN are sold and could not deleted therefore!","TANs sind verkauft und können deshalb nicht gelöscht werden"
"New TAN List","Neue TAN Liste"
"Expire Date","Ablaufdatum"
"Voucher","Gutschein"
"Voucher Information","Gutschein Information"
"Voucher Import","Gutschein Import"
"Sold","Verkauft"
"New","Neu"
"Allocation of Tans for Order %s failed!","Bereitstellung von TAN's für die Bestellung %s ist fehlgeschlagen!"
"Voucher Product without Inventory not allowed!","Der Gutscheinimport ohne Lagerverwaltung ist nicht möglich!"
