"Event","Event"
"Events","Events"
"Event Request Settings","Event Request Settings"
"Application","Application"
"Application of Admission","Application of Admission"
"Note","Note"
"Save And Continue Edit","Save And Continue Edit"
"Requested","Requested"
"Accepted","Accepted"
"Rejected","Rejected"
"Edit","Edit"
"Customer","Customer"
"-- Please Select --","-- Please Select --"
"Customer Information","Customer Information"
"Application Information","Application Information"
"Title","Title"
"Proceed to application","Proceed to application"
"Please Login first!","Please Login first!"
"Your event request has been registered!","Your event request has been registered!"
"%s can only be ordered/requested separately.","[%s] can only be ordered/requested separately."
"An application of %s has been found!","An application of [%s] has been found!"
"You can register events only!","You can register events only!"
"You can register one event only!","You can register one event only!"
"Please complete registration for the event %s first.","Please complete registration for the event [%s] first."
"Accept Template","ccept Template"
"Reject Template","Reject Template"
"street","street"
"Street","Street"
