"BILLING","Request invoice address"
"BKZ #","Posting indicator No."
"DELIVERY","Query delivery address"
"TEXT_PROCESS_ERROR:UNKNOWN CURL ERROR","Processing failed due to a technical problem - try again in a few minutes. If the transaction still fails, please contact our service: %s"
"TEXT_PROCESS_ERROR:UNKNOWN SOAP ERROR","Processing failed due to a technical problem - try again in a few minutes. If the transaction still fails, please contact our service: %s"
"TEXT_PROCESS_ERROR_-0100","The ePaymentId sent is not part of the last reading process."
"TEXT_PROCESS_ERROR_-0103","Input is limited to 27 characters"
"TEXT_PROCESS_ERROR_-0104","Processing failed - the payment transaction could not be executed. Your last name is invalid. It must not exceed 27 characters."
"TEXT_PROCESS_ERROR_-0107","Input is limited to 66 characters"
"TEXT_PROCESS_ERROR_-0109","Input is limited to 32 characters"
"TEXT_PROCESS_ERROR_-0117","Your account is locked. Contact the service: %s"
"TEXT_PROCESS_ERROR_-0117","Customer is currently locked, please contact our service: %s"
"TEXT_PROCESS_ERROR_-0119","The customer cannot be deleted because transactions are still open."
"TEXT_PROCESS_ERROR_-0201","Please check your address details"
"TEXT_PROCESS_ERROR_-0202","Please check your address details. The postcode is not valid. It must have five digits and must be numeric and greater than 00000."
"TEXT_PROCESS_ERROR_-0203","Input is limited to 22 characters"
"TEXT_PROCESS_ERROR_-0205","Input is limited to 65 characters"
"TEXT_PROCESS_ERROR_-0206","Please check your address details"
"TEXT_PROCESS_ERROR_-0207","Please check your address details"
"TEXT_PROCESS_ERROR_-0208","Please check your address details"
"TEXT_PROCESS_ERROR_-0213","Please check your address details"
"TEXT_PROCESS_ERROR_-0401","Bank account error: The bank details you entered are incorrect."
"TEXT_PROCESS_ERROR_-0402","Bank account error: The bank code you entered is invalid."
"TEXT_PROCESS_ERROR_-0403","Bank account error: The specified account number is incorrect."
"TEXT_PROCESS_ERROR_-0405","No bank details are available for the customer."
"TEXT_PROCESS_ERROR_-0406","Bank account error: Your bank details are blocked. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0407","Bank account error: Your bank details could not be validated. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0408","Bank account error: Your bank details could not be validated. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0409","Bank account error: Your bank details could not be validated. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0410","Bank account error: Your bank details could not be validated. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0411","Bank account error: Your bank details could not be validated. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0413","Bank account error: The specified account holder is too long (maximum 25 characters)."
"TEXT_PROCESS_ERROR_-0428","Your bank account is blocked, please contact our service: %s"
"TEXT_PROCESS_ERROR_-0434","The bank account is closed for the next 12 hours. Payments by direct debit are not possible during this time."
"TEXT_PROCESS_ERROR_-0510","Processing failed - the payment transaction could not be executed. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0511","Processing failed - the payment transaction could not be executed. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0513","Direct debit authorization error: This payment method is not yet available. Please try another payment method or contact our service: %s"
"TEXT_PROCESS_ERROR_-0611","Processing failed due to a configuration problem. Support has been informed if you have any questions, please contact our service: %s"
"TEXT_PROCESS_ERROR_-0702","Bank details Error: The bank code you entered is invalid."
"TEXT_PROCESS_ERROR_-0703","Bank details Error: The account number you entered is invalid."
"TEXT_PROCESS_ERROR_-5115","Your SEPA mandate has expired. The last use may not be more than 36 months ago."
"TEXT_PROCESS_ERROR_-5126","The different account holder is not completely specified. It must be specified: Name, first name, street, house number, postcode, town, country, IBAN, BIC, bank name."
"TEXT_PROCESS_ERROR_-9999","Processing failed due to a technical problem - try again in a few minutes. If the transaction still fails, please contact our service: %s"
"TEXT_PROCESS_ERROR_ALT_BANK_OWNER-5120","The different name and first name specified is too short or too long for account holders (up to 25 characters in total)."
"TEXT_PROCESS_ERROR_BIC_INVALID-0440","The specified BIC is incorrect or not known! Please check the specified BIC."
"TEXT_PROCESS_ERROR_IBAN_INVALID-0442","The given IBAN is wrong or not known! Please check the IBAN."
"TEXT_PROCESS_ERROR_IBAN_INVALID-0443","The check digit of the specified IBAN is invalid!"
"TEXT_PROCESS_ERROR_STANDARD","Processing failed due to a technical problem - try again in a few minutes. If the transaction still fails, please contact our service: %s"
"TEXT_PROCESS_ERROR_STANDARD_99989","Processing failed due to a technical problem - try again in a few minutes. If the transaction still fails, please contact our service: %s"
